by-a-whisker_adverb	pels-pèls_adverb
estimator_noun	estimador_noun
kid_noun	xiquet_noun
rosalinda_propernoun	rosalinda_propernoun
garfield_propernoun	garfield_propernoun
pascua_propernoun	pascua_propernoun
circumstantial_adjective	conjuntural_adjective
baggio_propernoun	baggio_propernoun
corchero_propernoun	corchero_propernoun
ángelita_propernoun	ángelita_propernoun
agell_propernoun	agell_propernoun
laureate_noun	guanyador_noun
aria_noun	ària_noun
fright_noun	ensurt_noun
viol_propernoun	viol_propernoun
signpost_noun	panell_noun
cellophane_noun	cel·lofana_noun
anosmia_noun	anòsmia_noun
eudoxus_propernoun	èudox_propernoun
astound_verb	sorprendre_verb
prpers_determiner	el_determiner
bel_propernoun	bel_propernoun
quadrennial_adjective	quadriennal_adjective
ammianus_propernoun	ammià_propernoun
on-your-part_adverb	per-la-teva-banda_adverb
ready_adverb	a-punt_adverb
pancrazio_propernoun	pancrazio_propernoun
jacobian_adjective	jacobià_adjective
right-hand_adjective	dret_adjective
job_noun	feina_noun
toneless_adjective	fluix_adjective
dahmer_propernoun	dahmer_propernoun
british-airways_propernoun	british-airways_propernoun
jungle_noun	selva_noun
voyeurism_noun	escopofília_noun
corset_noun	cotilla_noun
connect_verb	connectar_verb
on-her-account_adverb	en-nom-seu_adverb
avail_noun	utilitat_noun
acrimonious_adjective	mordaç_adjective
vocally_adverb	vocalment_adverb
award_noun	guardó_noun
supervisory_adjective	de-supervisió_adjective
nan_adjective	nul_adjective
drop_noun	gota_noun
crowd_noun	munió_noun
signature_noun	signatura_noun
cytogenesis_noun	citogènesi_noun
videodisc_noun	videodisc_noun
argument_noun	discussió_noun
reversionary_adjective	reversionari_adjective
masía_propernoun	masía_propernoun
for-the-sake-of-order_adverb	en-nom-de-l'ordre_adverb
alcindor_propernoun	alcindor_propernoun
iago_propernoun	iago_propernoun
demonstration_noun	demostració_noun
tabular_adjective	tabular_adjective
monteiro_propernoun	monteiro_propernoun
pyralmandite_noun	piralmandita_noun
lieberman_propernoun	lieberman_propernoun
navigation_noun	navegació_noun
lone_adjective	solitari_adjective
modelling_noun	modelat_noun
poyato_propernoun	poyato_propernoun
backer_noun	partidari_noun
grazer_noun	animal-de-pastura_noun
displeased_adjective	descontent_adjective
disquisition_noun	disquisició_noun
noële_propernoun	noële_propernoun
biofuel_noun	biocombustible_noun
smith_noun	ferrer_noun
inject_verb	injectar_verb
dührkop-dührkop_propernoun	dührkop-dührkop_propernoun
myelencephalon_noun	mielencèfal_noun
groslouis_propernoun	groslouis_propernoun
magnetise_verb	imantar_verb
azores_propernoun	açores_propernoun
motivating_adjective	motivador_adjective
chantal_propernoun	chantal_propernoun
julieta_propernoun	julieta_propernoun
concentrator_noun	concentrador_noun
abando_propernoun	abando_propernoun
elyn_propernoun	elyn_propernoun
ottoman_noun	otomana_noun
grimard_propernoun	grimard_propernoun
collapse_verb	col·lapsar_verb
italo_propernoun	italo_propernoun
grondin_propernoun	grondin_propernoun
intermediate_adjective	intermediari_adjective
testing_noun	testatge_noun
miron_propernoun	miron_propernoun
unsteeling_noun	desaceració_noun
smog_noun	boirum_noun
slug_noun	llimac_noun
citation_noun	citació_noun
maximo_propernoun	maximo_propernoun
deraiche_propernoun	deraiche_propernoun
vesuvius_propernoun	vesuvi_propernoun
elevator_noun	elevador_noun
casero_propernoun	casero_propernoun
manual_adjective	manual_adjective
carpintero_propernoun	carpintero_propernoun
hydrodynamic_adjective	hidrodinàmic_adjective
orso_propernoun	orso_propernoun
diabolical_adjective	diabòlic_adjective
before_adverb	abans_adverb
keyword_noun	paraula-clau_noun
summarily_adverb	sumàriament_adverb
on-his-own_adverb	en-el-seu-propi_adverb
quest_noun	recerca_noun
soloist_noun	solista_noun
divalent_adjective	bivalent_adjective
wide_adjective	ample_adjective
fill_verb	omplir_verb
pluviometry_noun	pluviometria_noun
catholically_adverb	catòlicament_adverb
shy_adjective	tímid_adjective
betriu_propernoun	betriu_propernoun
hydrazone_noun	hidrazona_noun
jaber_propernoun	jaber_propernoun
semicadence_noun	semicadència_noun
mathías_propernoun	mathías_propernoun
competence_noun	competència_noun
redhibition_noun	redhibició_noun
infiltrate_verb	infiltrar_verb
cindy_propernoun	cindy_propernoun
apolinar_propernoun	apolinar_propernoun
rodolphe_propernoun	rodolphe_propernoun
breviary_noun	breviari_noun
laforme_propernoun	laforme_propernoun
jasper_noun	jaspi_noun
labrocyte_noun	labròcit_noun
carriage-return_noun	retorn-de-carro_noun
boost_verb	estimular_verb
joan-mas-i-ramon_propernoun	joan-mas-i-ramon_propernoun
pothier_propernoun	pothier_propernoun
federation_noun	federació_noun
quick_adjective	ràpid_adjective
pacifism_noun	pacifisme_noun
anon_adverb	després_adverb
gelpí_propernoun	gelpí_propernoun
grand_adjective	magnífic_adjective
eastward_adverb	cap-a-l'est_adverb
roulier_propernoun	roulier_propernoun
as-luck-would-have-it_adverb	com-era-de-preveure_adverb
hagiographical_adjective	hagiogràfic_adjective
georgekish_propernoun	georgekish_propernoun
terrify_verb	aterrir_verb
fibroadenoma_noun	fibroadenoma_noun
thermistor_noun	termistor_noun
approach_noun	aproximació_noun
break_noun	respir_noun
bone_noun	pinyol_noun
cinca_propernoun	cinca_propernoun
euro_noun	euro_noun
constitutionality_noun	constitucionalitat_noun
schulz_propernoun	schulz_propernoun
griffiths_propernoun	griffiths_propernoun
pellet_noun	piloteta_noun
long_adjective	llarg_adjective
flawed_adjective	amb-defectes_adjective
mases_propernoun	mases_propernoun
rapid_noun	ràpid_noun
huntingdon_propernoun	huntingdon_propernoun
massaguer_propernoun	massaguer_propernoun
concent_noun	concent_noun
condensation_noun	condensació_noun
faroese_adjective	feroès_adjective
trinh_propernoun	trinh_propernoun
supposition_noun	supòsit_noun
harrowing_adjective	esquinçador_adjective
rally_verb	congregar_verb
ditullio_propernoun	ditullio_propernoun
maze_noun	laberint_noun
deficiency_noun	deficiència_noun
benzine_noun	gasolina_noun
paresthesia_noun	parestèsia_noun
epineurium_noun	epineuri_noun
candidate-for-the-presidency_noun	candidat-a-la-presidència_noun
molné_propernoun	molné_propernoun
cold_noun	refredat_noun
summary_noun	recapitulació_noun
antibiotic_noun	antibiòtic_noun
kraków_propernoun	cracòvia_propernoun
liberalization_noun	liberalització_noun
bituminous_adjective	bituminós_adjective
mantilla_propernoun	mantilla_propernoun
for-the-sake-of-god_adverb	per-l'amor-de-déu_adverb
dissociation_noun	dissociació_noun
isotropic_adjective	isòtrop_adjective
gravitational_adjective	gravitacional_adjective
landscape_noun	paisatge_noun
skilfully_adverb	hàbilment_adverb
on-his-part_adverb	per-part-seua_adverb
intend_verb	pretendre_verb
financing_noun	finançament_noun
discomfort_noun	incomoditat_noun
sympathetic_adjective	compassiu_adjective
on-second-thoughts_adverb	ben-mirat_adverb
peru_propernoun	perú_propernoun
defrancesco_propernoun	defrancesco_propernoun
necessity_noun	necessitat_noun
veteran_noun	veterà_noun
mysticism_noun	misticisme_noun
fuselage_noun	buc_noun
padrós_propernoun	padrós_propernoun
scrooge_propernoun	scrooge_propernoun
sufficient_adjective	suficient_adjective
chair_verb	presidir_verb
nintendo-dsi_propernoun	nintendo-dsi_propernoun
echo_verb	repetir_verb
expectation_noun	expectativa_noun
cash_verb	cobrar_verb
hypermenorrhea_noun	hipermenorrea_noun
vicar_noun	vicari_noun
lunchroom_noun	menjador_noun
griñán_propernoun	griñán_propernoun
deliberately_adverb	intencionadament_adverb
singularity_noun	singularitat_noun
chelsea_propernoun	chelsea_propernoun
girl_noun	nen_noun
indebtedness_noun	endeutament_noun
martinet_propernoun	martinet_propernoun
regardless_adverb	coste-el-que-coste_adverb
insure_verb	assegurar_verb
kenyan_adjective	kenià_adjective
out-of-luck_adverb	de-mala-sort_adverb
quicksilver_noun	argent-viu_noun
schedule_noun	programa_noun
didiane_propernoun	didiane_propernoun
temporary_adjective	temporal_adjective
phase_verb	sincronitzar_verb
revolutionise_verb	revolucionar_verb
concretely_adverb	concretament_adverb
godmother_noun	padrina_noun
at-the-beginning_adverb	al-principi_adverb
women's-team_noun	selecció-femenina_noun
expatriation_noun	expatriació_noun
paré_propernoun	paré_propernoun
baldoin_propernoun	baldoin_propernoun
couple_verb	acoblar_verb
haylee_propernoun	haylee_propernoun
askance_adverb	de-gairell_adverb
bouillabaisse_noun	bullabessa_noun
delhi_propernoun	delhi_propernoun
name_verb	nomenar_verb
valdés_propernoun	valdés_propernoun
remarkable_adjective	notable_adjective
red_noun	vermell_noun
naturalization_noun	naturalització_noun
simms_propernoun	simms_propernoun
shaving_noun	afaitada_noun
writing_noun	escrit_noun
savanah_propernoun	savanah_propernoun
puncture_verb	punxar_verb
sussman_propernoun	sussman_propernoun
blepharism_noun	blefarisme_noun
score_verb	puntuar_verb
neighboring_adjective	veí_adjective
ex-communist_adjective	ex-comunista_adjective
fast_adjective	ràpid_adjective
julian_propernoun	julian_propernoun
more-than-ever_adverb	més-que-mai_adverb
bellera_propernoun	bellera_propernoun
devillers_propernoun	devillers_propernoun
humanoid_noun	humanoide_noun
badly_adverb	malament_adverb
lepidocrocite_noun	lepidocrocita_noun
convertible_adjective	transformable_adjective
molality_noun	molalitat_noun
susanna_propernoun	susanna_propernoun
criticism_noun	criticisme_noun
tongue_noun	llengua_noun
kearns_propernoun	kearns_propernoun
rain_noun	pluja_noun
architecturally_adverb	arquitectònicament_adverb
internal_adjective	intern_adjective
venezuelan_adjective	veneçolà_adjective
substance_noun	substància_noun
adriel_propernoun	adriel_propernoun
sònia_propernoun	sònia_propernoun
scourge_noun	flagell_noun
fronton_noun	frontó_noun
colombano_propernoun	colombano_propernoun
thermonuclear_adjective	termonuclear_adjective
llavería_propernoun	llavería_propernoun
nashville_propernoun	nashville_propernoun
gelatin_noun	gelatina_noun
ximénez_propernoun	ximénez_propernoun
forty_numeral	quatre_numeral
herald_verb	pregonar_verb
ammonium_noun	amoni_noun
ergasto_propernoun	ergasto_propernoun
receipt_noun	rebut_noun
bureaucrat_noun	buròcrata_noun
cream_noun	nata_noun
morales_propernoun	morales_propernoun
jaylynn_propernoun	jaylynn_propernoun
media_noun	mitjà-de-comunicació_noun
transition_noun	transició_noun
volumetry_noun	volumetria_noun
bosquet_propernoun	bosquet_propernoun
slate_verb	programar_verb
abrahamic_adjective	abrahàmic_adjective
magma_noun	magma_noun
regime_noun	règim_noun
brake_noun	fre_noun
theodicy_noun	teodicea_noun
mari-amor_propernoun	mari-amor_propernoun
economist_noun	economista_noun
montilla_propernoun	montilla_propernoun
rocío_propernoun	rocío_propernoun
farias_propernoun	farias_propernoun
unpopularity_noun	impopularitat_noun
deceitful_adjective	enganyós_adjective
depalatalisation_noun	despalatalització_noun
lucena_propernoun	lucena_propernoun
zymogen_noun	zimogen_noun
larouche_propernoun	larouche_propernoun
subregion_noun	subregió_noun
usb_noun	usb_noun
tutusaus_propernoun	tutusaus_propernoun
all-the-same_adverb	de-tota-manera_adverb
captivity_noun	captivitat_noun
baseball_noun	beisbol_noun
subcategorisation_noun	subcategorització_noun
airplay_noun	cobertura-radiofònica_noun
mainville_propernoun	mainville_propernoun
shareholder_noun	accionista_noun
indisputable_adjective	indiscutible_adjective
reach_verb	abastir_verb
edgard_propernoun	edgard_propernoun
burriel_propernoun	burriel_propernoun
toscano_propernoun	toscano_propernoun
agitation_noun	agitació_noun
demeule_propernoun	demeule_propernoun
dairy_adjective	làctic_adjective
id-card_noun	targeta-d'identitat_noun
soucisse_propernoun	soucisse_propernoun
duramen_noun	duramen_noun
warlike_adjective	bel·ligerant_adjective
escriva_propernoun	escriva_propernoun
shea_propernoun	shea_propernoun
rehabilitation_noun	rehabilitació_noun
in-the-worst-case_adverb	en-el-pitjor-dels-casos_adverb
bader_propernoun	bader_propernoun
ramallo_propernoun	ramallo_propernoun
lithosequence_noun	litoseqüència_noun
pulse_noun	pols_noun
nursery_noun	infermeria_noun
aleardo_propernoun	aleardo_propernoun
courtroom_noun	sala_noun
helvecia_propernoun	helvecia_propernoun
morganatic_adjective	morganàtic_adjective
caamaño_propernoun	caamaño_propernoun
almirall_propernoun	almirall_propernoun
mundet_propernoun	mundet_propernoun
de-dios_propernoun	de-dios_propernoun
sweep_verb	escombrar_verb
in-high-season_adverb	en-temporada-alta_adverb
goose_noun	oca_noun
mastoptosis_noun	mastoptosi_noun
amara_propernoun	amara_propernoun
northerly_adjective	del-nord_adjective
hebe_propernoun	hebe_propernoun
palmer_propernoun	palmer_propernoun
secundino_propernoun	secundino_propernoun
kareem_propernoun	kareem_propernoun
wise-person_noun	savi_noun
uncountably_adverb	incontablement_adverb
in-other-respects_adverb	en-altres-aspectes_adverb
weather_noun	temps_noun
piquette_propernoun	piquette_propernoun
confess_verb	confessar_verb
eukaryotic_adjective	eucariota_adjective
recollection_noun	record_noun
serrats_propernoun	serrats_propernoun
centre_noun	centre_noun
imprecation_noun	imprecació_noun
galán_propernoun	galán_propernoun
edge_propernoun	edge_propernoun
greenberg_propernoun	greenberg_propernoun
anthracite_noun	antracita_noun
amezcua_propernoun	amezcua_propernoun
eschatology_noun	escatologia_noun
innumerable_adjective	innombrable_adjective
anglade_propernoun	anglade_propernoun
homeomorphic_adjective	homeomòrfic_adjective
nadime_propernoun	nadime_propernoun
bail_noun	fiança_noun
chest_noun	cofre_noun
tyrell_propernoun	tyrell_propernoun
velum_noun	vel_noun
assertive_adjective	autoritari_adjective
cloutier_propernoun	cloutier_propernoun
ken-saro-wiwa_propernoun	ken-saro-wiwa_propernoun
chiasm_noun	quiasma_noun
in-the-olden-days_adverb	en-altres-temps_adverb
require_verb	requerir_verb
nadeau_propernoun	nadeau_propernoun
clutch_noun	embragatge_noun
jase_propernoun	jase_propernoun
pressure-cooker_noun	olla-de-pressió_noun
íker_propernoun	íker_propernoun
schopenhauer_propernoun	schopenhauer_propernoun
prequel_noun	preqüela_noun
metabolite_noun	metabòlit_noun
knowles_propernoun	knowles_propernoun
shepherd_propernoun	shepherd_propernoun
adra_propernoun	adra_propernoun
penalising_adjective	sancionador_adjective
myocardosis_noun	miocardosi_noun
semi-state_adjective	semiestatal_adjective
cobweb_noun	teranyina_noun
deposit_verb	dipositar_verb
around-me_adverb	al-meu-voltant_adverb
malay_noun	malai_noun
inca_propernoun	inca_propernoun
bejarano_propernoun	bejarano_propernoun
whiskey_noun	whisky_noun
valquiria_propernoun	valquiria_propernoun
tasting_noun	degustació_noun
salvadoran_adjective	salvadorenc_adjective
one-hundredth_adjective	centèsim_adjective
cladistics_noun	cladística_noun
lapolice_propernoun	lapolice_propernoun
major_adjective	important_adjective
amylase_noun	amilasa_noun
dark-skinned_adjective	de-pell-fosca_adjective
carve_verb	gravar_verb
terrón_propernoun	terrón_propernoun
furnish_verb	moblar_verb
calce_propernoun	calce_propernoun
garner_propernoun	garner_propernoun
comella_propernoun	comella_propernoun
opening_noun	inici_noun
bertrand_propernoun	bertrand_propernoun
maiara_propernoun	maiara_propernoun
demographical_adjective	demogràfic_adjective
bend_noun	corba_noun
epistemic_adjective	epistèmic_adjective
lea_propernoun	lea_propernoun
symbolically_adverb	simbòlicament_adverb
agudo_propernoun	agudo_propernoun
arévalo_propernoun	arévalo_propernoun
swarm_noun	eixam_noun
charlie_propernoun	charlie_propernoun
gallienus_propernoun	gal·liè_propernoun
man_noun	home_noun
assouline_propernoun	assouline_propernoun
ghazni_propernoun	gazni_propernoun
ba_propernoun	ba_propernoun
varimeter_noun	varímetre_noun
sierpinski_propernoun	sierpiński_propernoun
greenlandic_adjective	groenlandès_adjective
snack_noun	berenar_noun
skyla_propernoun	skyla_propernoun
bias_noun	biaix_noun
brand-name_noun	nom-de-marca_noun
saxophone_noun	saxofon_noun
donation_noun	donació_noun
participant_noun	participant_noun
münster_propernoun	münster_propernoun
innocent_propernoun	innocent_propernoun
accelerate_verb	accelerar_verb
tarragó_propernoun	tarragó_propernoun
addiction_noun	addicció_noun
nostalgia_noun	nostàlgia_noun
nehemías_propernoun	nehemías_propernoun
trapper_propernoun	trapper_propernoun
mathis_propernoun	mathis_propernoun
ferro_propernoun	ferro_propernoun
garmin_propernoun	garmin_propernoun
pancho_propernoun	pancho_propernoun
opalescence_noun	opalescència_noun
microbarograph_noun	microbarògraf_noun
mint_noun	menta_noun
stoicism_noun	estoïcisme_noun
pantheon_noun	panteó_noun
barbershop_noun	barberia_noun
assignor_noun	cedent_noun
padilla_propernoun	padilla_propernoun
diary_noun	agenda_noun
smith_propernoun	smith_propernoun
unblock_verb	desbloquejar_verb
structure_noun	estructura_noun
juliane_propernoun	juliane_propernoun
boisseau_propernoun	boisseau_propernoun
rosmari_propernoun	rosmari_propernoun
shopping_noun	compra_noun
wylie_propernoun	wylie_propernoun
darche_propernoun	darche_propernoun
aylwin_propernoun	aylwin_propernoun
semi-minor-axis_noun	semieix-menor_noun
spacecraft_noun	aeronau_noun
morphological_adjective	morfològic_adjective
malleabilisation_noun	mal·leabilització_noun
sternum_noun	estèrnum_noun
addition_noun	addició_noun
on-fridays_adverb	cada-divendres_adverb
snowy_adjective	nevat_adjective
colchicum_noun	còlquic_noun
hallucinogenic_adjective	al·lucinogen_adjective
worship_noun	veneració_noun
mathé_propernoun	mathé_propernoun
deterioration_noun	deteriorament_noun
sulka_propernoun	sulka_propernoun
serré_propernoun	serré_propernoun
nikosea_propernoun	nicòsia_propernoun
soak_verb	amarar_verb
protein_noun	proteïna_noun
riddle_noun	enigma_noun
notice_noun	anunci_noun
yuray_propernoun	yuray_propernoun
teógenes_propernoun	teógenes_propernoun
verbosity_noun	verbositat_noun
batch_noun	tanda_noun
spacious_adjective	espaiós_adjective
firebucket_noun	helidipòsit_noun
homeless_adjective	sense-sostre_adjective
estalella_propernoun	estalella_propernoun
entrepreneurial_adjective	empresarial_adjective
batter_verb	maltractar_verb
aladino_propernoun	aladino_propernoun
pinyol_propernoun	pinyol_propernoun
mathurin_propernoun	mathurin_propernoun
orbit_noun	òrbita_noun
verticality_noun	verticalitat_noun
cumulatively_adverb	de-manera-acumulativa_adverb
importance_noun	rellevància_noun
gizzard_noun	pedrer_noun
pregnant_adjective	embarassat_adjective
trinity_propernoun	trinity_propernoun
dopplr_propernoun	dopplr_propernoun
syndication_noun	sindicació_noun
froilán_propernoun	froilán_propernoun
none-the-less_adverb	no-obstant-això_adverb
longevous_adjective	longeu_adjective
climatological_adjective	climatològic_adjective
theistic_adjective	teista_adjective
telemotor_noun	telemotor_noun
actively_adverb	de-forma-activa_adverb
donahue_propernoun	donahue_propernoun
doom_verb	condemnar_verb
consent_noun	consentiment_noun
chaila_propernoun	chaila_propernoun
historiographer_noun	historiògraf_noun
lihuén_propernoun	lihuén_propernoun
microsoft_propernoun	microsoft_propernoun
next-april_adverb	el-proper-abril_adverb
dampen_verb	humitejar_verb
next-saturday_adverb	el-proper-dissabte_adverb
maría-begoñia_propernoun	maría-begoñia_propernoun
forebode_verb	presagiar_verb
swipe_verb	copejar_verb
juan-vicente-mas-quiles_propernoun	juan-vicente-mas-quiles_propernoun
manufacture_verb	fabricar_verb
secretary-general_noun	secretari-general_noun
discreetly_adverb	discretament_adverb
gibbs_propernoun	gibbs_propernoun
rest_noun	descans_noun
apart-from_preposition	a-part-de_preposition
preparatory_adjective	preparatori_adjective
spectral_adjective	espectral_adjective
barrios_propernoun	barrios_propernoun
simard_propernoun	simard_propernoun
assemble_verb	reunir_verb
unequal_adjective	desigual_adjective
deputy-mayor_noun	tinent-d'alcalde_noun
realistically_adverb	realisticament_adverb
as-a-general-rule_adverb	per-norma-general_adverb
tell_verb	dir_verb
gerry-adams_propernoun	gerry-adams_propernoun
erasable_adjective	esborrable_adjective
trigonal_adjective	trigonal_adjective
basil_noun	alfàbega_noun
rather_adverb	més-aïnes_adverb
bertoldo_propernoun	bertoldo_propernoun
farid_propernoun	farid_propernoun
disapprove_verb	desaprovar_verb
dancer_noun	ballarí_noun
immunology_noun	immunologia_noun
lamellibranch_noun	lamel·libranqui_noun
de-saussure_propernoun	de-saussure_propernoun
giorgina_propernoun	giorgina_propernoun
yael_propernoun	yael_propernoun
indium_noun	indi_noun
tompkins_propernoun	tompkins_propernoun
taxation_noun	impost_noun
pablo_propernoun	pablo_propernoun
moore_propernoun	moore_propernoun
on-principle_adverb	per-principis_adverb
gipuzkoa_propernoun	guipúscoa_propernoun
shift_noun	canvi_noun
hilarity_noun	hilaritat_noun
septimio_propernoun	septimio_propernoun
marbela_propernoun	marbela_propernoun
strident_adjective	estrident_adjective
pedosphere_noun	edafosfera_noun
tomorrow-noon_adverb	demà-al-migdia_adverb
justin_propernoun	justin_propernoun
gibraltar_propernoun	gibraltar_propernoun
barking_noun	escorçament_noun
eyelash_noun	pestanya_noun
trevon_propernoun	trevon_propernoun
yemina_propernoun	yemina_propernoun
immunoelectrophoresis_noun	immunoelectroforesi_noun
berengué_propernoun	berengué_propernoun
obscenity_noun	obscenitat_noun
mesopotamian_adjective	mesopotàmic_adjective
turning_noun	tombant_noun
worthy_adjective	digne_adjective
swearword_noun	renec_noun
clarification_noun	aclariment_noun
oscillating_adjective	oscil·lant_adjective
molinos_propernoun	molinos_propernoun
cohen_propernoun	cohen_propernoun
elliptically_adverb	el·lípticament_adverb
grandmont_propernoun	grandmont_propernoun
mcfarlane_propernoun	mcfarlane_propernoun
mix_verb	barrejar_verb
ludovica_propernoun	ludovica_propernoun
fara_propernoun	fara_propernoun
poikilothermal_adjective	poiquiloterm_adjective
jacqueline_propernoun	jacqueline_propernoun
catkin_noun	ament_noun
obtain_verb	obtenir_verb
sense_verb	notar_verb
dash_noun	polsim_noun
trintxerpe_propernoun	trintxerpe_propernoun
in-self-defense_adverb	en-defensa-pròpia_adverb
convertible_adjective	convertible_adjective
gossip_noun	xafarderia_noun
amplification_noun	amplificació_noun
barnard_propernoun	barnard_propernoun
ivern_propernoun	ivern_propernoun
fallout_noun	efecte-col·lateral_noun
professionally_adverb	professionalment_adverb
radiotelegram_noun	radiotelegrama_noun
fortify_verb	enfortir_verb
polygenesis_noun	poligènesi_noun
tetartohedron_noun	tetartoedre_noun
accreditation_noun	acreditació_noun
seal_noun	segell_noun
equitably_adverb	equitativament_adverb
diatomic_adjective	diatòmic_adjective
thoron_noun	toró_noun
fewer_adjective	menys_adjective
fewer_adjective	menys_adjective
vineyard_noun	vinyer_noun
for-a-long-time_adverb	molt-temps_adverb
perfectly-well_adverb	molt-bé_adverb
calvache_propernoun	calvache_propernoun
bun_noun	congret_noun
coldly_adverb	fredament_adverb
eulerian_adjective	eulerià_adjective
tidy-up_verb	endreçar_verb
impeachment_noun	destitució_noun
presbyter_noun	presbiterià_noun
thicknesser_noun	regruixadora_noun
peloponnesian_adjective	del-peloponès_adjective
ulam_propernoun	ulam_propernoun
refine_verb	refinar_verb
bloody_adjective	sanguinolent_adjective
also_adverb	també_adverb
viticulture_noun	viticultura_noun
fix_verb	fixar_verb
chancellor_noun	canceller_noun
observatory_noun	observatori_noun
osei_propernoun	osei_propernoun
tv_noun	tv_noun
seneschal_noun	senescal_noun
paper_noun	article_noun
television_noun	televisor_noun
draftsmanship_noun	delineació_noun
cédric_propernoun	cédric_propernoun
artacho_propernoun	artacho_propernoun
subclass_noun	subclasse_noun
trempe_propernoun	trempe_propernoun
in-a-short-space-of-time_adverb	en-poc-temps_adverb
metallica_propernoun	metallica_propernoun
melt_verb	fondre_verb
salud_propernoun	salud_propernoun
mazo_propernoun	mazo_propernoun
atomistic_adjective	atomístic_adjective
throw_verb	foragitar_verb
natalio_propernoun	natalio_propernoun
wolfgang_propernoun	wolfgang_propernoun
abstentionism_noun	abstencionisme_noun
over_adverb	damunt_adverb
argue_verb	argumentar_verb
bainite_noun	bainita_noun
cassette_noun	casset_noun
monier_propernoun	monier_propernoun
yayn_propernoun	yayn_propernoun
trigger_noun	gallet_noun
rhodium_noun	rodi_noun
terradellas_propernoun	terradellas_propernoun
chest_noun	pit_noun
say_verb	dir_verb
rumor_verb	rumorejar_verb
ubiquitous_adjective	ubic_adjective
allie_propernoun	allie_propernoun
absentee_adjective	absent_adjective
camphor_noun	càmfora_noun
by-the-day_adverb	al-dia_adverb
everyone_pronoun	tothom_pronoun
africanism_noun	africanisme_noun
conduct_verb	dirigir_verb
sweep_verb	agranar_verb
devries_propernoun	devries_propernoun
ticio_propernoun	ticio_propernoun
rhomboid_noun	romboide_noun
barbarian_noun	bàrbar_noun
retirement_noun	jubilació_noun
nicandro_propernoun	nicandro_propernoun
xulia_propernoun	xulia_propernoun
stab_noun	punyalada_noun
berylliosis_noun	beril·liosi_noun
mane_propernoun	mane_propernoun
isobaric_adjective	isobàric_adjective
on-trial_adverb	en-prova_adverb
violoncello_noun	violoncel_noun
completeness_noun	completesa_noun
credible_adjective	creïble_adjective
nitride_verb	nitrurar_verb
world-bank_propernoun	banc-mundial_propernoun
mas-i-ossó_propernoun	mas-i-ossó_propernoun
montevideo_propernoun	montevideo_propernoun
irrevocability_noun	irrevocabilitat_noun
comi_propernoun	comi_propernoun
galileo_propernoun	galileo_propernoun
fibrillolysis_noun	fibril·lòlisi_noun
just-for-show_adverb	només-per-impressionar_adverb
puñet_propernoun	puñet_propernoun
bioregulation_noun	bioregulació_noun
mundo_propernoun	mundo_propernoun
tensional_adjective	tensional_adjective
homeric_adjective	homèric_adjective
legume_noun	llegum_noun
off_preposition	de_preposition
salesse_propernoun	salesse_propernoun
almost_adverb	casi_adverb
pepsin_noun	pepsina_noun
cabin_noun	cabanya_noun
patry_propernoun	patry_propernoun
stopper_noun	tap_noun
paracentesis_noun	paracentesi_noun
conservative_adjective	conservador_adjective
cute_adjective	bufó_adjective
geodesy_noun	geodèsia_noun
siderurgy_noun	siderúrgia_noun
ex-president_noun	expresident_noun
irrefutable_adjective	fefaent_adjective
eroles_propernoun	eroles_propernoun
dodecahedron_noun	dodecaedre_noun
pharmacy_noun	farmàcia_noun
ouabain_noun	uabaïna_noun
consistency_noun	consistència_noun
anwar_propernoun	anwar_propernoun
underneath_adverb	per-sota_adverb
out-of-sorts_adverb	a-mal-borràs_adverb
revolve_verb	regirar_verb
empirically_adverb	empíricament_adverb
burgoyne_propernoun	burgoyne_propernoun
deburring_noun	desbarbatge_noun
pulitzer_propernoun	pulitzer_propernoun
preservation_noun	preservació_noun
ceasing_adjective	cessant_adjective
mussel_noun	clòtxina_noun
globulin_noun	globulina_noun
light-skinned_adjective	de-pell-clara_adjective
timeframe_noun	esquema-temporal_noun
mannheim_propernoun	mannheim_propernoun
precipitously_adverb	vertiginosament_adverb
claw_noun	urpa_noun
filomeno_propernoun	filomeno_propernoun
player_noun	intèrpret_noun
nihilism_noun	nihilisme_noun
countersignature_noun	contrasignatura_noun
radiographic_adjective	radiogràfic_adjective
earl_noun	comte_noun
guanish_propernoun	guanish_propernoun
rugby_noun	rugbi_noun
predefined_adjective	predefinit_adjective
markus_propernoun	markus_propernoun
within-the-bounds-of-probability_adverb	en-tant-que-sigui-possible_adverb
martyrdom_noun	martiri_noun
codification_noun	codificació_noun
isiah_propernoun	isiah_propernoun
romaguera_propernoun	romaguera_propernoun
occasionalism_noun	ocasionalisme_noun
revuelta_propernoun	revuelta_propernoun
end-to-end_adverb	de-punta-a-punta_adverb
astor_propernoun	astor_propernoun
comb_verb	pentinar_verb
gloucester_propernoun	gloucester_propernoun
gertrude_propernoun	gertrude_propernoun
store_verb	emmagatzemar_verb
flexibility_noun	flexibilitat_noun
ligero_propernoun	ligero_propernoun
ethmoidal_adjective	etmoidal_adjective
dobson_propernoun	dobson_propernoun
marotte_propernoun	marotte_propernoun
reshuffle_verb	remodelar_verb
cendra_propernoun	cendra_propernoun
elytron_noun	èlitre_noun
roger_propernoun	roger_propernoun
quadrangle_noun	quadrangle_noun
extort_verb	extorquir_verb
sapir_propernoun	sapir_propernoun
staff_noun	personal_noun
