ilegitimamente_adverb	il·legítimament_adverb
trabanco_propernoun	trabanco_propernoun
reinserção_noun	reinserció_noun
positivismo_noun	positivisme_noun
rixi_propernoun	rixi_propernoun
prodan_propernoun	prodan_propernoun
massificação_noun	massificació_noun
franco_noun	franc_noun
villacis_propernoun	villacis_propernoun
kardec_propernoun	kardec_propernoun
malory_propernoun	malory_propernoun
abstenção_noun	abstenció_noun
macrocefálico_adjective	macrocefàlic_adjective
ponton_propernoun	ponton_propernoun
derivada_noun	derivada_noun
sinceramente_adverb	sincerament_adverb
viteazul_propernoun	viteazul_propernoun
latourelle_propernoun	latourelle_propernoun
vericat_propernoun	vericat_propernoun
confinado_adjective	confinat_adjective
urraca_propernoun	urraca_propernoun
corsi_propernoun	corsi_propernoun
laterreur_propernoun	laterreur_propernoun
varga_propernoun	varga_propernoun
anedota_noun	anècdota_noun
tela_noun	tela_noun
lacharité_propernoun	lacharité_propernoun
maría_propernoun	maría_propernoun
unionista_adjective	unionista_adjective
riudoms_propernoun	riudoms_propernoun
boyas_propernoun	boyas_propernoun
weistche_propernoun	weistche_propernoun
pesaroso_adjective	pesarós_adjective
celestial_adjective	celestial_adjective
vilajosana_propernoun	vilajosana_propernoun
valentine_propernoun	valentine_propernoun
irrigável_adjective	irrigable_adjective
rovirosa_propernoun	rovirosa_propernoun
sabbatini_propernoun	sabbatini_propernoun
poblet_propernoun	poblet_propernoun
subtração_noun	resta_noun
sentinela_noun	sentinella_noun
innocenzi_propernoun	innocenzi_propernoun
del-castillo_propernoun	del-castillo_propernoun
orduña_propernoun	orduña_propernoun
tarradas_propernoun	tarradas_propernoun
meter_verb	ficar_verb
belicamente_adverb	bèl·licament_adverb
méxico_propernoun	mèxic_propernoun
silvani_propernoun	silvani_propernoun
maçanet-de-cabrenys_propernoun	maçanet-de-cabrenys_propernoun
misólogo_noun	misòleg_noun
indovina_propernoun	indovina_propernoun
cappato_propernoun	cappato_propernoun
notaristefano_propernoun	notaristefano_propernoun
fortuño_propernoun	fortuño_propernoun
lapointe_propernoun	lapointe_propernoun
didáctico_adjective	didàctic_adjective
iarrusso_propernoun	iarrusso_propernoun
brincar_verb	jugar_verb
doutrina_noun	doctrina_noun
guilmain_propernoun	guilmain_propernoun
aonde_relativepronoun	on_relativepronoun
aonde_interrogativepronoun	on_interrogativepronoun
aonde_adverb	on_adverb
aonde_relativepronoun	on_relativepronoun
aonde_interrogativepronoun	on_interrogativepronoun
junto-a_preposition	al-costat-de_preposition
valentemente_adverb	valentment_adverb
regulamentar_adjective	reglamentari_adjective
odoroso_adjective	odorós_adjective
psicodramático_adjective	psicodramàtic_adjective
calderoli_propernoun	calderoli_propernoun
convergência_noun	convergència_noun
laurito_propernoun	laurito_propernoun
biscardi_propernoun	biscardi_propernoun
quarenta-e-três_numeral	quaranta-tres_numeral
casasses_propernoun	casasses_propernoun
expatriado_adjective	expatriat_adjective
molíns_propernoun	molíns_propernoun
absurdo_adjective	absurd_adjective
bergua_propernoun	bergua_propernoun
oitenta-e-quatro_numeral	vuitanta-quatre_numeral
pieza_noun	pieza_noun
reportar_verb	reportar_verb
astorre_propernoun	astorre_propernoun
bouchard_propernoun	bouchard_propernoun
confirmativo_adjective	confirmatiu_adjective
aiguaviva_propernoun	aiguaviva_propernoun
ruggiero_propernoun	ruggiero_propernoun
emma_propernoun	emma_propernoun
reparatório_adjective	reparatori_adjective
vilanova-i-la-geltrú_propernoun	vilanova-i-la-geltrú_propernoun
brochard_propernoun	brochard_propernoun
convocatória_noun	convocatòria_noun
lachaîne_propernoun	lachaîne_propernoun
clorofórmico_adjective	clorofòrmic_adjective
eletrostrição_noun	electrostricció_noun
gibosidade_noun	gibositat_noun
sangrar_verb	sagnar_verb
itinerância_noun	itinerància_noun
excluir_verb	excloure_verb
maturana_propernoun	maturana_propernoun
chenoud_propernoun	chenoud_propernoun
mirar_verb	mirar_verb
gomila_propernoun	gomila_propernoun
primo-de-rivera_propernoun	primo-de-rivera_propernoun
purista_noun	purista_noun
gonzaga_propernoun	gonzaga_propernoun
franzino_adjective	prim_adjective
remunerador_adjective	remunerador_adjective
recto_noun	recte_noun
cavalgar_verb	cavalcar_verb
murati_propernoun	murati_propernoun
piva_propernoun	piva_propernoun
perdoar_verb	perdonar_verb
périssé_propernoun	périssé_propernoun
socrates_propernoun	socrates_propernoun
subvencionável_adjective	subvencionable_adjective
couro_noun	cuir_noun
chami_propernoun	chami_propernoun
gastronomicamente_adverb	gastronòmicament_adverb
iridectomia_noun	iridectomia_noun
risco_noun	risc_noun
carazo_propernoun	carazo_propernoun
como_adverb	com_adverb
como_relativepronoun	com_relativepronoun
como_interrogativepronoun	com_interrogativepronoun
como_adverb	com_adverb
como_relativepronoun	com_relativepronoun
como_relativepronoun	com_relativepronoun
como_interrogativepronoun	com_interrogativepronoun
como_relativepronoun	com_relativepronoun
como_interrogativepronoun	com_interrogativepronoun
vocelle_propernoun	vocelle_propernoun
hepburn_propernoun	hepburn_propernoun
grito_noun	crit_noun
fayad_propernoun	fayad_propernoun
penuria_noun	penuria_noun
chaves_propernoun	chaves_propernoun
costas_propernoun	costas_propernoun
hasegawa_propernoun	hasegawa_propernoun
thiaré_propernoun	thiaré_propernoun
aguado_propernoun	aguado_propernoun
roa_propernoun	roa_propernoun
sacerdotal_adjective	sacerdotal_adjective
herruzo_propernoun	herruzo_propernoun
weis_propernoun	weis_propernoun
peça_noun	peça_noun
braquial_adjective	braquial_adjective
crescer_verb	créixer_verb
verônica_propernoun	verônica_propernoun
jouyet_propernoun	jouyet_propernoun
sciortino_propernoun	sciortino_propernoun
o-que_relativepronoun	el-qual_relativepronoun
o-que_pronoun	el-qual_pronoun
timoneda_propernoun	timoneda_propernoun
mundialização_noun	mundialització_noun
seychelles_propernoun	seychelles_propernoun
federalização_noun	federalització_noun
cia_noun	cia_noun
adiamento_noun	ajornament_noun
desgraçado_adjective	desgraciat_adjective
inchar_verb	inflar_verb
infusibilidade_noun	infusibilitat_noun
número_noun	nombre_noun
globalizar_verb	globalitzar_verb
cozer_verb	coure_verb
sibilia_propernoun	sibilia_propernoun
theo_propernoun	theo_propernoun
moradia_noun	vivenda_noun
evangelizador_adjective	evangelitzador_adjective
ajuriaguerra_propernoun	ajuriaguerra_propernoun
guirado_propernoun	guirado_propernoun
st-roch_propernoun	st-roch_propernoun
sylvester_propernoun	sylvester_propernoun
outro_pronoun	altre_pronoun
chalhoub_propernoun	chalhoub_propernoun
condutor_noun	xofer_noun
gerência_noun	gerència_noun
freeport_propernoun	freeport_propernoun
giancarli_propernoun	giancarli_propernoun
kronecker_propernoun	kronecker_propernoun
alli_propernoun	alli_propernoun
montserrat_propernoun	montserrat_propernoun
regurgitação_noun	regurgitació_noun
cópia_noun	còpia_noun
cauchy_propernoun	cauchy_propernoun
lupiáñez_propernoun	lupiáñez_propernoun
west_propernoun	west_propernoun
rodon_propernoun	rodon_propernoun
ravina_noun	barranc_noun
hardey_propernoun	hardey_propernoun
semitónico_adjective	semitònic_adjective
presciente_adjective	prescient_adjective
baxok_propernoun	baxok_propernoun
vulgarmente_adverb	vulgarment_adverb
generalidade_noun	generalitat_noun
fito_propernoun	fito_propernoun
solari_propernoun	solari_propernoun
bret_propernoun	bret_propernoun
baldaquino_noun	baldaquí_noun
tocantins_propernoun	tocantins_propernoun
esmerilador_adjective	esmerilador_adjective
tegumentário_adjective	tegumentari_adjective
peru_noun	gall-dindi_noun
curtiss_propernoun	curtiss_propernoun
macedonski_propernoun	macedonski_propernoun
sanz_propernoun	sanz_propernoun
poetização_noun	poetització_noun
tubular_adjective	tubular_adjective
seta_propernoun	seta_propernoun
dodecágono_noun	dodecàgon_noun
aceder_verb	accedir_verb
um-pouquinho_adverb	una-miqueta_adverb
neves_propernoun	neves_propernoun
mănescu_propernoun	mănescu_propernoun
cox_propernoun	cox_propernoun
righetti_propernoun	righetti_propernoun
correção_noun	correcció_noun
ruelland_propernoun	ruelland_propernoun
encarar_verb	encarar_verb
eletrodo_noun	elèctrode_noun
repartimento_noun	repartiment_noun
meroni_propernoun	meroni_propernoun
coragem_noun	coratge_noun
brull_propernoun	brull_propernoun
burguês_noun	burgès_noun
infantes_propernoun	infantes_propernoun
nervação_noun	nervació_noun
burguês_adjective	burgès_adjective
estimulante_adjective	estimulant_adjective
binelli_propernoun	binelli_propernoun
albert_propernoun	albert_propernoun
castellonet-de-la-conquesta_propernoun	castellonet-de-la-conquesta_propernoun
assenjo_propernoun	assenjo_propernoun
calvente_propernoun	calvente_propernoun
el-ouahabi_propernoun	el-ouahabi_propernoun
frio_noun	fred_noun
goracci_propernoun	goracci_propernoun
promulgador_adjective	promulgador_adjective
exigência_noun	exigència_noun
paciente_adjective	pacient_adjective
consuetudinariamente_adverb	consuetudinàriament_adverb
perondi_propernoun	perondi_propernoun
guarner_propernoun	guarner_propernoun
ilegalizar_verb	il·legalitzar_verb
intermediação_noun	intermediació_noun
conforme_preposition	d'acord-amb_preposition
cataléptico_adjective	catalèptic_adjective
jurador_adjective	jurador_adjective
tarragonès_propernoun	tarragonès_propernoun
amidei_propernoun	amidei_propernoun
cabanes_propernoun	cabanes_propernoun
contemplar_verb	contemplar_verb
mascheroni_propernoun	mascheroni_propernoun
quando-muito_adverb	com-a-molt_adverb
pedicelli_propernoun	pedicelli_propernoun
gascão_adjective	gascó_adjective
soldável_adjective	soldable_adjective
hubble_propernoun	hubble_propernoun
extensivamente_adverb	extensivament_adverb
inalação_noun	inhalació_noun
perdível_adjective	perdible_adjective
rebuscado_adjective	rebuscat_adjective
racionalizar_verb	racionalitzar_verb
maternidade_noun	maternitat_noun
berendes_propernoun	berendes_propernoun
morto_adjective	mort_adjective
puré_noun	puré_noun
volitivo_adjective	volitiu_adjective
descodificação_noun	descodificació_noun
hemeralopia_noun	hemeralopia_noun
basal_adjective	basal_adjective
senegalês_noun	senegalès_noun
pescador_adjective	pescador_adjective
conselheiro_noun	conseller_noun
animicamente_adverb	anímicament_adverb
relaxador_adjective	relaxador_adjective
demontigny_propernoun	demontigny_propernoun
gigli_propernoun	gigli_propernoun
sebácico_adjective	sebàcic_adjective
dodier_propernoun	dodier_propernoun
isogonal_adjective	isogonal_adjective
órgão_noun	òrgan_noun
feira_noun	fira_noun
buck_propernoun	buck_propernoun
browning_propernoun	browning_propernoun
angiospérmico_adjective	angiospèrmic_adjective
cisse_propernoun	cisse_propernoun
darwiniano_adjective	darwinià_adjective
tendas_propernoun	tendas_propernoun
auditório_noun	auditori_noun
sabor_noun	sabor_noun
xeraco_propernoun	xeraco_propernoun
impavidamente_adverb	impàvidament_adverb
abstração_noun	abstracció_noun
mayrand_propernoun	mayrand_propernoun
moldan_propernoun	moldan_propernoun
coitado_adjective	desgraciat_adjective
hipotensão_noun	hipotensió_noun
ganhador_noun	guanyador_noun
quintas_propernoun	quintas_propernoun
esperançoso_adjective	esperançós_adjective
autonomia_noun	autonomia_noun
tridente_noun	trident_noun
cantalejo_propernoun	cantalejo_propernoun
ininteligibilidade_noun	inintel·ligibilitat_noun
crucialmente_adverb	crucialment_adverb
magalhães_propernoun	magalhães_propernoun
afirmativamente_adverb	afirmativament_adverb
somali_adjective	somali_adjective
israel_propernoun	israel_propernoun
excecionalidade_noun	excepcionalitat_noun
dextradeur_propernoun	dextradeur_propernoun
saponara_propernoun	saponara_propernoun
deluca_propernoun	deluca_propernoun
ayestarán_propernoun	ayestarán_propernoun
flexivo_adjective	flexiu_adjective
probabilidade_noun	probabilitat_noun
vitrificação_noun	vitrificació_noun
flaherty_propernoun	flaherty_propernoun
língua_noun	parla_noun
emotivo_adjective	emotiu_adjective
pisano_propernoun	pisano_propernoun
marchionna_propernoun	marchionna_propernoun
talhante_adjective	tallant_adjective
torneio_noun	torneig_noun
formular_verb	formular_verb
villiard_propernoun	villiard_propernoun
downing_propernoun	downing_propernoun
poliândrico_adjective	poliàndric_adjective
bloomberg_propernoun	bloomberg_propernoun
lençol_noun	llençol_noun
charbonneau_propernoun	charbonneau_propernoun
passível_adjective	passible_adjective
delarue_propernoun	delarue_propernoun
anónimo_adjective	anònim_adjective
von-witzleben_propernoun	von-witzleben_propernoun
patente_noun	patent_noun
estônia_propernoun	estònia_propernoun
maconha_noun	marihuana_noun
proléptico_adjective	prolèptic_adjective
monique_propernoun	monique_propernoun
galerista_noun	galerista_noun
reilly_propernoun	reilly_propernoun
imoral_adjective	immoral_adjective
marginet_propernoun	marginet_propernoun
mongay_propernoun	mongay_propernoun
saera_propernoun	saera_propernoun
toxicomania_noun	toxicomania_noun
esticar_verb	estirar_verb
interrogatório_noun	interrogatori_noun
fonema_noun	fonema_noun
ariano_adjective	arià_adjective
ghiță_propernoun	ghiță_propernoun
primal_propernoun	primal_propernoun
palermo_propernoun	palerm_propernoun
choquette_propernoun	choquette_propernoun
inacabável_adjective	inacabable_adjective
subdesenvolvimento_noun	subdesenvolupament_noun
mickel_propernoun	mickel_propernoun
balcazar_propernoun	balcazar_propernoun
lazzati_propernoun	lazzati_propernoun
asburgo_propernoun	asburgo_propernoun
encefalopatia_noun	encefalopatia_noun
bem-vindo_adjective	benvingut_adjective
basicidade_noun	basicitat_noun
barnils_propernoun	barnils_propernoun
urzi_propernoun	urzi_propernoun
astucioso_adjective	astuciós_adjective
costal_adjective	costal_adjective
abricó_noun	albercoc_noun
nokia_propernoun	nokia_propernoun
sanativo_adjective	sanatiu_adjective
swallow_propernoun	swallow_propernoun
mackenna_propernoun	mackenna_propernoun
anunciação_noun	anunciació_noun
paulhus_propernoun	paulhus_propernoun
multiplicação_noun	multiplicació_noun
meocci_propernoun	meocci_propernoun
timão_noun	timó_noun
expressável_adjective	expressable_adjective
capela_noun	capella_noun
corelli_propernoun	corelli_propernoun
schanck_propernoun	schanck_propernoun
humanização_noun	humanització_noun
borno_propernoun	borno_propernoun
lanzinger_propernoun	lanzinger_propernoun
curiel_propernoun	curiel_propernoun
paes_propernoun	paes_propernoun
acordo_noun	acord_noun
vergara_propernoun	vergara_propernoun
fassina_propernoun	fassina_propernoun
milícia_noun	sometent_noun
ditomasso_propernoun	ditomasso_propernoun
exprimível_adjective	exprimible_adjective
cumprir_verb	complir_verb
subjectividade_noun	subjectivitat_noun
funchal_propernoun	funchal_propernoun
gimnospérmico_adjective	gimnospèrmic_adjective
nebrasca_propernoun	nebraska_propernoun
vallbona-d'anoia_propernoun	vallbona-d'anoia_propernoun
paolini_propernoun	paolini_propernoun
natxo_propernoun	natxo_propernoun
eguren_propernoun	eguren_propernoun
bigorna_noun	enclusa_noun
trajectória_noun	trajectòria_noun
caulín_propernoun	caulín_propernoun
adoção_noun	adopció_noun
deodato_propernoun	deodato_propernoun
manifesto_noun	manifest_noun
telegráfico_adjective	telegràfic_adjective
seduzir_verb	seduir_verb
khayat_propernoun	khayat_propernoun
arquiteto_noun	arquitecte_noun
maià-de-montcal_propernoun	maià-de-montcal_propernoun
winslet_propernoun	winslet_propernoun
justificativa_noun	justificació_noun
gignac_propernoun	gignac_propernoun
edery_propernoun	edery_propernoun
garrigo_propernoun	garrigo_propernoun
ao-mesmo-tempo-em-que_subordinatingconjunction	al-mateix-temps-que_subordinatingconjunction
proposta_noun	proposta_noun
boldi_propernoun	boldi_propernoun
gerontológico_adjective	gerontològic_adjective
estupro_noun	violació_noun
lobo_propernoun	lobo_propernoun
pedraz_propernoun	pedraz_propernoun
nominativo_adjective	nominatiu_adjective
daigneault_propernoun	daigneault_propernoun
cádiz_propernoun	cadis_propernoun
sumariamente_adverb	sumàriament_adverb
nova_propernoun	nova_propernoun
animadamente_adverb	animadament_adverb
vampirismo_noun	vampirisme_noun
calculável_adjective	calculable_adjective
czar_noun	tsar_noun
dom_noun	do_noun
delimitável_adjective	delimitable_adjective
contemporizar_verb	contemporitzar_verb
delta_noun	delta_noun
arrighi_propernoun	arrighi_propernoun
río_propernoun	río_propernoun
mônaco_propernoun	mònaco_propernoun
aristide_propernoun	aristide_propernoun
demagogo_noun	demagog_noun
chirac_propernoun	chirac_propernoun
richardson_propernoun	richardson_propernoun
interrogador_noun	interrogador_noun
sobrevivência_noun	supervivència_noun
dodecaedro_noun	dodecaedre_noun
artfutura_propernoun	artfutura_propernoun
l'alqueria-d'asnar_propernoun	l'alqueria-d'asnar_propernoun
foro_noun	fòrum_noun
complexamente_adverb	complexament_adverb
casero_propernoun	casero_propernoun
tomista_adjective	tomista_adjective
hüllweck_propernoun	hüllweck_propernoun
dumoulin_propernoun	dumoulin_propernoun
fornecer_verb	subministrar_verb
pombo_noun	colom_noun
álbum_noun	àlbum_noun
mas-i-borràs_propernoun	mas-i-borràs_propernoun
rivelli_propernoun	rivelli_propernoun
guimerá_propernoun	guimerá_propernoun
conferir_verb	conferir_verb
bilabiado_adjective	bilabiat_adjective
dimorfismo_noun	dimorfisme_noun
avon_propernoun	avon_propernoun
sofie_propernoun	sofie_propernoun
soviético_adjective	soviètic_adjective
afora_adverb	fora_adverb
convincente_adjective	convincent_adjective
termólise_noun	termòlisi_noun
azkuna_propernoun	azkuna_propernoun
rolland_propernoun	rolland_propernoun
gold_propernoun	gold_propernoun
discreto_adjective	discret_adjective
genro_noun	gendre_noun
corporativo_adjective	corporatiu_adjective
ameskoa_propernoun	ameskoa_propernoun
em-cima_adverb	al-damunt_adverb
waelsch_propernoun	waelsch_propernoun
assalariado_noun	assalariat_noun
médico_adjective	mèdic_adjective
sociolinguista_noun	sociolingüista_noun
obscuridade_noun	obscuritat_noun
dipiazza_propernoun	dipiazza_propernoun
joncas_propernoun	joncas_propernoun
rahola_propernoun	rahola_propernoun
banto_adjective	bantu_adjective
obstinação_noun	obstinació_noun
de-sá-teixeira_propernoun	de-sá-teixeira_propernoun
governável_adjective	governable_adjective
reunir_verb	aplegar_verb
denominável_adjective	denominable_adjective
exaltante_adjective	exaltant_adjective
ivanovic_propernoun	ivanovic_propernoun
deteriorar_verb	deteriorar_verb
fielmente_adverb	fidelment_adverb
carlismo_noun	carlisme_noun
tardif_propernoun	tardif_propernoun
unanimidade_noun	unanimitat_noun
marcialmente_adverb	marcialment_adverb
mercuri_propernoun	mercuri_propernoun
dill_propernoun	dill_propernoun
roberts_propernoun	roberts_propernoun
alemão_adjective	alemany_adjective
fatale_propernoun	fatale_propernoun
sensatez_noun	seny_noun
de-fato_adverb	de-facto_adverb
benvenutti_propernoun	benvenutti_propernoun
bulgarelli_propernoun	bulgarelli_propernoun
benfiquista_adjective	benfiquista_adjective
agorafobia_noun	agorafòbia_noun
fissurado_adjective	fissurat_adjective
nota_noun	nota_noun
giuseppantonio_propernoun	giuseppantonio_propernoun
caulinar_adjective	caulinar_adjective
perfetível_adjective	perfectible_adjective
samadi_propernoun	samadi_propernoun
fotoelectricamente_adverb	fotoelèctricament_adverb
maryland_propernoun	maryland_propernoun
nobilia_propernoun	nobilia_propernoun
bouthot_propernoun	bouthot_propernoun
dupré_propernoun	dupré_propernoun
gafforelli_propernoun	gafforelli_propernoun
vílchez_propernoun	vílchez_propernoun
improvisação_noun	improvisació_noun
pedoto_propernoun	pedoto_propernoun
montán_propernoun	montán_propernoun
esquerdista_adjective	esquerrà_adjective
mantha_propernoun	mantha_propernoun
bimetalista_adjective	bimetal·lista_adjective
mutxamel_propernoun	mutxamel_propernoun
parémico_adjective	parèmic_adjective
micu_propernoun	micu_propernoun
tyndale_propernoun	tyndale_propernoun
bulgária_propernoun	bulgària_propernoun
lescano_propernoun	lescano_propernoun
cool_propernoun	cool_propernoun
insubstancial_adjective	insubstancial_adjective
competição_noun	competició_noun
subregionalmente_adverb	subregionalment_adverb
cieslewicz_propernoun	cieslewicz_propernoun
jacobinismo_noun	jacobinisme_noun
sempere_propernoun	sempere_propernoun
etário_adjective	etari_adjective
contrato_noun	fitxatge_noun
incongruente_adjective	incongruent_adjective
ester_propernoun	ester_propernoun
capcioso_adjective	capciós_adjective
schoder_propernoun	schoder_propernoun
indicar_verb	nomenar_verb
scevarolli_propernoun	scevarolli_propernoun
raffarin_propernoun	raffarin_propernoun
rádio_noun	ràdio_noun
aixalá_propernoun	aixalá_propernoun
martinescu_propernoun	martinescu_propernoun
vale_noun	vall_noun
preservativo_noun	preservatiu_noun
implementação_noun	implementació_noun
fadiga_noun	fatiga_noun
montgomery_propernoun	montgomery_propernoun
buteau_propernoun	buteau_propernoun
pals_propernoun	pals_propernoun
mim_pronoun	mi_pronoun
pomposo_adjective	pompós_adjective
gallofré_propernoun	gallofré_propernoun
astronomicamente_adverb	astronòmicament_adverb
estudo_noun	estudi_noun
objetividade_noun	objectivitat_noun
sprint_noun	sprint_noun
inacabamento_noun	inacabament_noun
demoniacamente_adverb	demoníacament_adverb
d'urso_propernoun	d'urso_propernoun
saro_propernoun	saro_propernoun
iosifovna_propernoun	iosifovna_propernoun
zamora_propernoun	zamora_propernoun
rennie_propernoun	rennie_propernoun
germinador_adjective	germinador_adjective
piloso_adjective	pilós_adjective
weston_propernoun	weston_propernoun
bazan_propernoun	bazan_propernoun
dicção_noun	dicció_noun
calcinhas_noun	calcetes_noun
lunda-sul_propernoun	lunda-sud_propernoun
demostrador_adjective	demostrador_adjective
nacionalizador_adjective	nacionalitzador_adjective
uninominal_adjective	uninominal_adjective
el-greco_propernoun	el-greco_propernoun
zuccalà_propernoun	zuccalà_propernoun
jingbo_propernoun	jingbo_propernoun
lugovoi_propernoun	lugovoi_propernoun
invariância_noun	invariància_noun
bishop_propernoun	bishop_propernoun
expiatório_adjective	expiatori_adjective
enriquecer_verb	enriquir_verb
bandado_adjective	bandat_adjective
ruvira_propernoun	ruvira_propernoun
brocado_noun	brocat_noun
farinone_propernoun	farinone_propernoun
cenni_propernoun	cenni_propernoun
verticilado_adjective	verticil·lat_adjective
naoum_propernoun	naoum_propernoun
supletivo_adjective	supletiu_adjective
gleeton_propernoun	gleeton_propernoun
aborrecimento_noun	aversió_noun
salma_propernoun	salma_propernoun
lacônico_adjective	lacònic_adjective
fósforo_noun	fòsfor_noun
desprotecção_noun	desprotecció_noun
gadêlha_propernoun	gadêlha_propernoun
aquiles_propernoun	aquil·les_propernoun
iezzi_propernoun	iezzi_propernoun
stefan_propernoun	stefan_propernoun
moorcock_propernoun	moorcock_propernoun
lenda_noun	llegenda_noun
psicotécnico_adjective	psicotècnic_adjective
forneiro_noun	forner_noun
colleen_propernoun	colleen_propernoun
alfabético_adjective	alfabètic_adjective
pentano_noun	pentà_noun
agricultor_noun	agricultor_noun
sacañet_propernoun	sacañet_propernoun
programar_verb	programar_verb
montpetit_propernoun	montpetit_propernoun
dessecação_noun	dessecació_noun
zoogénico_adjective	zoogènic_adjective
seguro_adverb	segur_adverb
linguística_noun	lingüística_noun
fortin_propernoun	fortin_propernoun
atualmente_adverb	ara-per-ara_adverb
fantasiador_adjective	fantasiador_adjective
castelo_noun	castell_noun
potra_propernoun	potra_propernoun
lolli_propernoun	lolli_propernoun
meter_verb	posar_verb
shulamith_propernoun	shulamith_propernoun
chamado_adjective	anomenat_adjective
nave_noun	nau_noun
platero_propernoun	platero_propernoun
ignorante_adjective	ignorant_adjective
desconstrução_noun	desconstrucció_noun
civilizar_verb	civilitzar_verb
hollweg_propernoun	hollweg_propernoun
cashore_propernoun	cashore_propernoun
coreografia_noun	coreografia_noun
impressionável_adjective	impressionable_adjective
codreanu_propernoun	codreanu_propernoun
cristescu_propernoun	cristescu_propernoun
ferino_adjective	ferí_adjective
republicano_noun	republicà_noun
kauki_propernoun	kauki_propernoun
monton_propernoun	monton_propernoun
de-paco_propernoun	de-paco_propernoun
perversidade_noun	perversitat_noun
destituição_noun	destitució_noun
cova_propernoun	cova_propernoun
infertilidade_noun	infertilitat_noun
hâldan_propernoun	hâldan_propernoun
meza_propernoun	meza_propernoun
aguirre_propernoun	aguirre_propernoun
zani_propernoun	zani_propernoun
ambientação_noun	ambientació_noun
órgão_noun	orgue_noun
glorificador_adjective	glorificador_adjective
tibbo_propernoun	tibbo_propernoun
habib_propernoun	habib_propernoun
tió_propernoun	tió_propernoun
snowden_propernoun	snowden_propernoun
terrivelmente_adverb	terriblement_adverb
la-guingueta-d'àneu_propernoun	la-guingueta-d'àneu_propernoun
contemplação_noun	contemplació_noun
ditatorial_adjective	dictatorial_adjective
letão_noun	letó_noun
fregolent_propernoun	fregolent_propernoun
rastrelli_propernoun	rastrelli_propernoun
descravizar_verb	alliberar_verb
gide_propernoun	gide_propernoun
guillén_propernoun	guillén_propernoun
caracterial_adjective	caracterial_adjective
em-torno-de_preposition	entorn-de_preposition
mérineau_propernoun	mérineau_propernoun
bambi_propernoun	bambi_propernoun
regionalismo_noun	regionalisme_noun
prefeito_noun	alcalde_noun
europarlamento_propernoun	europarlament_propernoun
stroobants_propernoun	stroobants_propernoun
platónico_adjective	platònic_adjective
homenagear_verb	homenatjar_verb
culturista_noun	culturista_noun
emuntório_adjective	emuntori_adjective
geoestratégico_adjective	geoestratègic_adjective
obscenamente_adverb	obscenament_adverb
mcisaac_propernoun	mcisaac_propernoun
mirarchi_propernoun	mirarchi_propernoun
dificultar_verb	dificultar_verb
esboço_noun	esbós_noun
hughes_propernoun	hughes_propernoun
estuard_propernoun	estuard_propernoun
enterrador_noun	enterrador_noun
cara-ou-coroa_adverb	cara-o-creu_adverb
sibarítico_adjective	sibarític_adjective
tanzilli_propernoun	tanzilli_propernoun
codrignani_propernoun	codrignani_propernoun
agotar_verb	agotar_verb
hemiedro_noun	hemiedre_noun
vegetação_noun	vegetació_noun
cebola_noun	ceba_noun
septuagésimo-segundo_adjective	setanta-dosè_adjective
badía_propernoun	badía_propernoun
decalvante_adjective	decalvant_adjective
moros_propernoun	moros_propernoun
cadastrado_adjective	usuari_adjective
operoso_adjective	operós_adjective
progressão_noun	progressió_noun
cladellas_propernoun	cladellas_propernoun
oficializar_verb	oficialitzar_verb
mongolóide_adjective	mongoloide_adjective
retorsão_noun	retorsió_noun
fontanillas_propernoun	fontanillas_propernoun
esplendor_noun	esplendor_noun
antinomiano_adjective	antinomià_adjective
poliédrico_adjective	polièdric_adjective
detenção_noun	arrest_noun
rénio_noun	reni_noun
hipotônico_adjective	hipotònic_adjective
prefeitura_noun	consistori_noun
contrariar_verb	contrariar_verb
antecessor_noun	antecessor_noun
fecundante_adjective	fecundant_adjective
verge_propernoun	verge_propernoun
proclamado_adjective	proclamat_adjective
transfigurável_adjective	transfigurable_adjective
bodrato_propernoun	bodrato_propernoun
datilográfico_adjective	dactilogràfic_adjective
relaño_propernoun	relaño_propernoun
marcucci_propernoun	marcucci_propernoun
tallon_propernoun	tallon_propernoun
omitir_verb	ometre_verb
voltairiano_adjective	voltairià_adjective
parentela_propernoun	parentela_propernoun
les-borges-del-camp_propernoun	les-borges-del-camp_propernoun
rusconi_propernoun	rusconi_propernoun
ramalho_propernoun	ramalho_propernoun
becerril_propernoun	becerril_propernoun
intussuscepção_noun	intussuscepció_noun
marquinho_propernoun	marquinho_propernoun
roireau_propernoun	roireau_propernoun
septenário_adjective	septenari_adjective
modesto_propernoun	modesto_propernoun
pinault_propernoun	pinault_propernoun
viladamat_propernoun	viladamat_propernoun
belfast_propernoun	belfast_propernoun
assombrosamente_adverb	sorprenentment_adverb
quando_adverb	quan_adverb
quando_interrogativepronoun	quan_interrogativepronoun
quando_adverb	quan_adverb
quando_relativepronoun	quan_relativepronoun
quando_interrogativepronoun	quan_interrogativepronoun
quando_adverb	quan_adverb
quando_interrogativepronoun	quan_interrogativepronoun
quando_relativepronoun	quan_relativepronoun
quando_interrogativepronoun	quan_interrogativepronoun
execração_noun	execració_noun
octogésimo-sexto_adjective	huitanta-sisè_adjective
schnyder_propernoun	schnyder_propernoun
sobrecarregado_adjective	sobrecarregat_adjective
burocratizar_verb	burocratitzar_verb
genérico_adjective	genèric_adjective
