waiting_for_preposition_en	esperando_a_preposition_es
samurai_noun_en	samurái_noun_es
increase_noun_en	incremento_noun_es
vat_noun_en	iva_noun_es
von_habsburg_propernoun_en	von_habsburg_propernoun_es
cyclonic_adjective_en	ciclónico_adjective_es
validate_verb_en	convalidar_verb_es
siren_noun_en	sirena_noun_es
colophony_noun_en	colofonia_noun_es
shun_verb_en	rehuir_verb_es
paperwork_noun_en	papeleo_noun_es
thorough_clean_noun_en	limpieza_a_fondo_noun_es
trailer_noun_en	remolque_noun_es
per_diem_noun_en	dieta_noun_es
backstitch_noun_en	repunte_noun_es
variation_noun_en	variación_noun_es
adulation_noun_en	adulación_noun_es
alternation_noun_en	alternancia_noun_es
subtly_adverb_en	sutilmente_adverb_es
know_the_subject_really_well_verb_en	conocer_el_tema_a_fondo_verb_es
explorer_noun_en	explorador_noun_es
typical_adjective_en	típico_adjective_es
opran_propernoun_en	opran_propernoun_es
in_low_season_adverb_en	en_temporada_baja_adverb_es
divide_verb_en	dividir_verb_es
suffering_noun_en	sufrimiento_noun_es
cut_noun_en	corte_noun_es
fumigation_noun_en	fumigación_noun_es
neolithic_noun_en	neolítico_noun_es
yoghourt_noun_en	yogur_noun_es
outdoors_adverb_en	al_aire_libre_adverb_es
spanish_marine_division_propernoun_en	tercio_de_armada_de_infantería_de_marina_propernoun_es
flight_noun_en	vuelo_noun_es
limiter_noun_en	limitador_noun_es
lure_noun_en	señuelo_noun_es
mediocrity_noun_en	mediocridad_noun_es
opening_noun_en	obertura_noun_es
pipe_noun_en	cañería_noun_es
scepter_noun_en	cetro_noun_es
cavernous_adjective_en	cavernoso_adjective_es
geologically_adverb_en	geológicamente_adverb_es
offence_noun_en	delito_noun_es
snack_noun_en	bocado_noun_es
coast_noun_en	costa_noun_es
teaser_noun_en	bromista_noun_es
company_noun_en	empresa_noun_es
acrosome_noun_en	acrosoma_noun_es
neoprene_noun_en	neopreno_noun_es
mortally_adverb_en	mortalmente_adverb_es
appearance_noun_en	apariencia_noun_es
precisely_adverb_en	precisamente_adverb_es
fond_adjective_en	cariñoso_adjective_es
the_other_day_adverb_en	el_otro_día_adverb_es
clinic_noun_en	clínica_noun_es
equally_adverb_en	equitativamente_adverb_es
supersymmetric_adjective_en	supersimétrico_adjective_es
endothelium_noun_en	endotelio_noun_es
below_adverb_en	debajo_adverb_es
at_length_adverb_en	extensamente_adverb_es
deltoid_noun_en	deltoideo_noun_es
biodegradation_noun_en	biodegradación_noun_es
odontology_noun_en	odontología_noun_es
revalidate_verb_en	revalidar_verb_es
hemotherapy_noun_en	hemoterapia_noun_es
hemophilia_noun_en	hemofilia_noun_es
export_noun_en	exportación_noun_es
acerbity_noun_en	acerbidad_noun_es
the_next_spring_adverb_en	la_próxima_primavera_adverb_es
staircase_noun_en	escalera_noun_es
aggressively_adverb_en	agresivamente_adverb_es
midfield_player_noun_en	centrocampista_noun_es
spermatogonium_noun_en	espermatogonia_noun_es
splitting_noun_en	desdoblamiento_noun_es
murcia_propernoun_en	murcia_propernoun_es
minimalism_noun_en	minimalismo_noun_es
radiotelegraphy_noun_en	radiotelegrafía_noun_es
autocrat_noun_en	autócrata_noun_es
toast_verb_en	tostar_verb_es
reservation_noun_en	reserva_noun_es
indian_noun_en	indio_noun_es
suicide_noun_en	suicidio_noun_es
dystrophy_noun_en	distrofia_noun_es
northerly_adjective_en	del_norte_adjective_es
strike_verb_en	hacer_huelga_verb_es
because_of_preposition_en	debido_a_preposition_es
idiomorphic_adjective_en	idiomorfo_adjective_es
lunar_adjective_en	lunar_adjective_es
thirtieth_determiner_en	trigésimo_determiner_es
smoker_noun_en	fumador_noun_es
straighten_verb_en	alisar_verb_es
painfully_adverb_en	dolorosamente_adverb_es
morning_noun_en	madrugada_noun_es
golden_share_noun_en	acción_de_oro_noun_es
suffixation_noun_en	sufijación_noun_es
on_my_part_adverb_en	por_mi_parte_adverb_es
chess_adjective_en	ajedrecístico_adjective_es
convenience_noun_en	comodidad_noun_es
excavator_adjective_en	excavador_adjective_es
rhetoric_noun_en	retórica_noun_es
rule_verb_en	gobernar_verb_es
marchena_propernoun_en	marchena_propernoun_es
contagion_noun_en	contagio_noun_es
white_noun_en	blanco_noun_es
by_the_skin_of_one's_teeth_adverb_en	por_los_pelos_adverb_es
heterosexual_adjective_en	heterosexual_adjective_es
irregularity_noun_en	irregularidad_noun_es
favour_noun_en	merced_noun_es
delhi_propernoun_en	delhi_propernoun_es
john_propernoun_en	john_propernoun_es
switch_noun_en	cambio_noun_es
euphoria_noun_en	euforia_noun_es
serious_adjective_en	serio_adjective_es
wilful_adjective_en	obstinado_adjective_es
universitat_de_les_illes_balears_propernoun_en	universitat_de_les_illes_balears_propernoun_es
sunny_adjective_en	soleado_adjective_es
ureter_noun_en	uréter_noun_es
reel_verb_en	devanar_verb_es
oligarchy_noun_en	oligarquía_noun_es
parabola_noun_en	parábola_noun_es
rather_adverb_en	bastante_adverb_es
petty_cash_noun_en	dinero_para_gastos_menores_noun_es
metallurgy_noun_en	metalurgia_noun_es
violation_noun_en	vulneración_noun_es
arouse_verb_en	suscitar_verb_es
yanukovych_propernoun_en	yanukóvich_propernoun_es
tower_noun_en	torre_noun_es
fearful_adjective_en	temeroso_adjective_es
nowadays_adverb_en	hoy_en_día_adverb_es
reset_noun_en	reinicialización_noun_es
alter_verb_en	alterar_verb_es
scroll_down_verb_en	desplazar_hacia_abajo_verb_es
hogan_propernoun_en	hogan_propernoun_es
consult_verb_en	consultar_verb_es
ibiza_propernoun_en	eivissa_propernoun_es
multiple_noun_en	múltiplo_noun_es
campaign_noun_en	campaña_noun_es
on_our_part_adverb_en	por_nuestra_parte_adverb_es
charge_verb_en	embestir_verb_es
deflation_noun_en	deflación_noun_es
preamble_noun_en	preámbulo_noun_es
humanistic_adjective_en	humanístico_adjective_es
archduke_noun_en	archiduque_noun_es
octahedron_noun_en	octaedro_noun_es
cellulose_noun_en	celulosa_noun_es
scroll_noun_en	rollo_noun_es
reconfiguration_noun_en	reconfiguración_noun_es
coedition_noun_en	coedición_noun_es
one_man's_meat_is_another_man's_poison_interjection_en	lo_que_a_uno_cura_a_otro_mata_interjection_es
borbone_propernoun_en	borbone_propernoun_es
expulsion_noun_en	expulsión_noun_es
youtube_propernoun_en	youtube_propernoun_es
form_noun_en	impreso_noun_es
hike_noun_en	caminata_noun_es
stamen_noun_en	estambre_noun_es
culprit_noun_en	culpable_noun_es
polymorphism_noun_en	polimorfismo_noun_es
work_noun_en	trabajo_noun_es
scanner_noun_en	escáner_noun_es
cheque_noun_en	cheque_noun_es
comport_verb_en	entrañar_verb_es
neon_noun_en	neón_noun_es
lignin_noun_en	lignina_noun_es
light-sensitive_adjective_en	fotosensible_adjective_es
person_noun_en	persona_noun_es
bract_noun_en	bráctea_noun_es
spoil_fun_to_verb_en	aguar_la_fiesta_a_verb_es
distort_verb_en	distorsionar_verb_es
swiss_adjective_en	suizo_adjective_es
to_the_detriment_of_preposition_en	en_detrimento_de_preposition_es
macrocephaly_noun_en	macrocefalia_noun_es
kabul_propernoun_en	kabul_propernoun_es
peal_noun_en	repique_noun_es
andalusian_noun_en	andaluz_noun_es
confusedly_adverb_en	confusamente_adverb_es
zone_noun_en	zona_noun_es
happen_verb_en	advenir_verb_es
ionise_verb_en	ionizar_verb_es
temperate_adjective_en	templado_adjective_es
coffee_with_milk_noun_en	café_con_leche_noun_es
reserve_verb_en	reservar_verb_es
allergy_noun_en	alergia_noun_es
pedestrian_noun_en	viandante_noun_es
depending_on_subordinatingconjunction_en	según_subordinatingconjunction_es
be_suitable_verb_en	ser_propio_verb_es
in_the_distant_future_adverb_en	en_un_futuro_lejano_adverb_es
laptop_noun_en	portátil_noun_es
jobless_adjective_en	sin_trabajo_adjective_es
cabin_noun_en	cabina_noun_es
boat_race_noun_en	regata_noun_es
torment_noun_en	tormento_noun_es
on_the_verge_of_extinction_adverb_en	al_borde_de_la_extinción_adverb_es
draw_verb_en	dibujar_verb_es
norway_propernoun_en	noruega_propernoun_es
myalgia_noun_en	mialgia_noun_es
alternator_noun_en	alternador_noun_es
stipulation_noun_en	estipulación_noun_es
brazilian_adjective_en	brasilero_adjective_es
cheerfully_adverb_en	campechanamente_adverb_es
tonga_propernoun_en	tonga_propernoun_es
traffic_noun_en	tráfico_noun_es
compulsive_adjective_en	compulsivo_adjective_es
globally_adverb_en	globalmente_adverb_es
palaeography_noun_en	paleografía_noun_es
republic_noun_en	república_noun_es
subsidise_verb_en	subvencionar_verb_es
laugh_along_with_verb_en	reír_la_gracia_verb_es
indiscipline_noun_en	indisciplina_noun_es
granddaughter_noun_en	nieto_noun_es
royal_adjective_en	real_adjective_es
rusticity_noun_en	rusticidad_noun_es
monosyllabic_adjective_en	monosílabo_adjective_es
cabin_noun_en	cabaña_noun_es
second_world_war_propernoun_en	segunda_guerra_mundial_propernoun_es
damage_verb_en	dañar_verb_es
acquit_verb_en	absolver_verb_es
next_june_adverb_en	el_próximo_junio_adverb_es
have_verb_en	tener_verb_es
potential_noun_en	potencial_noun_es
deviationism_noun_en	desviacionismo_noun_es
mas_nadal_i_can_mèlich_propernoun_en	mas_nadal_i_can_mèlich_propernoun_es
film_noun_en	película_noun_es
on_the_brink_of_despair_adverb_en	al_borde_de_la_desesperación_adverb_es
astigmatism_noun_en	astigmatismo_noun_es
angioma_noun_en	angioma_noun_es
whereby_adverb_en	por_la_cual_adverb_es
rumour_noun_en	rumor_noun_es
bear_verb_en	aguantar_verb_es
desolation_noun_en	desolación_noun_es
dregs_noun_en	poso_noun_es
pork_noun_en	cerdo_noun_es
private_tuition_noun_en	clase_particular_noun_es
phagocyte_noun_en	fagocito_noun_es
short_adjective_en	bajo_adjective_es
to_such_an_extent_adverb_en	hasta_tal_punto_adverb_es
trachea_noun_en	tráquea_noun_es
reactionary_adjective_en	reaccionario_adjective_es
seventeen_hundred_numeral_en	mil_setecientos_numeral_es
amongst_preposition_en	entre_preposition_es
clearing_code_noun_en	código_de_compensación_noun_es
dodecahedron_noun_en	dodecaedro_noun_es
homer_propernoun_en	homero_propernoun_es
perjury_noun_en	perjurio_noun_es
guffaw_noun_en	carcajada_noun_es
cider_noun_en	sidra_noun_es
variability_noun_en	variabilidad_noun_es
queen_of_the_jungle_noun_en	rey_de_la_jungla_noun_es
irascible_adjective_en	irascible_adjective_es
site_noun_en	sitio_noun_es
divergent_adjective_en	divergente_adjective_es
ascent_noun_en	ascenso_noun_es
give_complex_verb_en	acomplejar_verb_es
immediately_adverb_en	inmediatamente_adverb_es
relief_noun_en	alivio_noun_es
keep_the_peace_verb_en	mantener_la_paz_verb_es
hypsographic_adjective_en	hipsográfico_adjective_es
canalisation_noun_en	canalización_noun_es
cartel_noun_en	cártel_noun_es
amber_noun_en	ámbar_noun_es
restart_verb_en	reemprender_verb_es
omit_verb_en	omitir_verb_es
twenty_numeral_en	dos_numeral_es
corpuscular_adjective_en	corpuscular_adjective_es
revised_adjective_en	revisado_adjective_es
table_the_motion_verb_en	presentar_la_moción_verb_es
claim_verb_en	atribuirse_verb_es
genetic_adjective_en	genético_adjective_es
quartzite_noun_en	cuarcita_noun_es
sophocles_propernoun_en	sófocles_propernoun_es
broccoli_noun_en	brócoli_noun_es
break-even_point_noun_en	punto_de_equilibrio_noun_es
impression_noun_en	impresión_noun_es
polyhedral_adjective_en	poliédrico_adjective_es
title_noun_en	título_noun_es
verheugen_propernoun_en	verheugen_propernoun_es
cortisone_noun_en	cortisona_noun_es
fbi_noun_en	fbi_noun_es
form_noun_en	formulario_noun_es
obverse_noun_en	anverso_noun_es
presently_adverb_en	actualmente_adverb_es
by_fits_and_starts_adverb_en	a_tontas_y_a_locas_adverb_es
oscillate_verb_en	oscilar_verb_es
japanese-american_noun_en	americano_de_origen_japonés_noun_es
shutdown_noun_en	cierre_noun_es
unreadable_adjective_en	ilegible_adjective_es
aguirre_propernoun_en	aguirre_propernoun_es
apiculture_noun_en	apicultura_noun_es
go_into_action_verb_en	ponerse_en_acción_verb_es
hallucinogen_noun_en	alucinógeno_noun_es
yield_noun_en	cosecha_noun_es
highly_adverb_en	altamente_adverb_es
arjona_propernoun_en	arjona_propernoun_es
fermentation_noun_en	fermentación_noun_es
congregate_verb_en	congregarse_verb_es
machine-gun_verb_en	ametrallar_verb_es
recreation_noun_en	esparcimiento_noun_es
periscope_noun_en	periscopio_noun_es
nationalisation_noun_en	nacionalización_noun_es
lithium_noun_en	litio_noun_es
alibi_noun_en	coartada_noun_es
tenerifean_adjective_en	tinerfeño_adjective_es
pork_loin_noun_en	lomo_de_cerdo_noun_es
formalism_noun_en	formalismo_noun_es
disturb_verb_en	perturbar_verb_es
middle_east_theocracy_noun_en	teocracia_del_oriente_medio_noun_es
antonym_noun_en	antónimo_noun_es
strengthen_verb_en	fortalecer_verb_es
specialise_verb_en	especializar_verb_es
mechanics_noun_en	mecánico_noun_es
patti_smith_propernoun_en	patti_smith_propernoun_es
superficial_adjective_en	superficial_adjective_es
leek_noun_en	puerro_noun_es
amisom_propernoun_en	amisom_propernoun_es
feather_duster_noun_en	plumero_noun_es
lipstick_noun_en	pintalabios_noun_es
case_with_a_false_bottom_noun_en	maletín_con_doble_fondo_noun_es
geostrophic_adjective_en	geostrófico_adjective_es
in_stock_adverb_en	en_stock_adverb_es
prpers_pronoun_en	lo_pronoun_es
prpers_determiner_en	lo_determiner_es
montenegro_propernoun_en	montenegro_propernoun_es
cluttered_adjective_en	abarrotado_adjective_es
evaporation_noun_en	evaporación_noun_es
map_noun_en	mapa_noun_es
snout_noun_en	hocico_noun_es
imperfection_noun_en	imperfección_noun_es
ornithology_noun_en	ornitología_noun_es
silicate_noun_en	silicato_noun_es
commerce_noun_en	comercio_noun_es
subterranean_adjective_en	subterráneo_adjective_es
basic_problem_noun_en	problema_de_fondo_noun_es
reelect_verb_en	reelegir_verb_es
venezuelan_noun_en	venezolano_noun_es
examination_noun_en	inspección_noun_es
polynomial_noun_en	polinomio_noun_es
where_adverb_en	dónde_adverb_es
where_interrogativepronoun_en	dónde_interrogativepronoun_es
hydrofugous_adjective_en	hidrófugo_adjective_es
donostia_propernoun_en	donostia_propernoun_es
intention_noun_en	intención_noun_es
saudi_arabia_propernoun_en	arabia_saudí_propernoun_es
membranous_adjective_en	membranoso_adjective_es
dendrology_noun_en	dendrología_noun_es
thaw_noun_en	deshielo_noun_es
local_office_noun_en	delegación_municipal_noun_es
painstakingly_adverb_en	laboriosamente_adverb_es
brother_noun_en	hermano_noun_es
from_this_time_forth_adverb_en	desde_ahora_adverb_es
summa_propernoun_en	summa_propernoun_es
cryogenic_adjective_en	criogénico_adjective_es
problematic_adjective_en	problemático_adjective_es
jaunty_adjective_en	desenfadado_adjective_es
ignorance_noun_en	ignorancia_noun_es
apostolate_noun_en	apostolado_noun_es
effervescence_noun_en	efervescencia_noun_es
piecework_noun_en	destajo_noun_es
hypotenuse_noun_en	hipotenusa_noun_es
hungry_adjective_en	famélico_adjective_es
need_verb_en	necesitar_verb_es
support_noun_en	apoyo_noun_es
mode_noun_en	modo_noun_es
seism_noun_en	sismo_noun_es
vertebrate_noun_en	vertebrado_noun_es
extend_verb_en	extender_verb_es
night_and_day_adverb_en	noche_y_día_adverb_es
lipase_noun_en	lipasa_noun_es
keyboard_noun_en	teclado_noun_es
demodulate_verb_en	desmodular_verb_es
awful_adjective_en	terrible_adjective_es
visor_noun_en	visera_noun_es
reach_rock_bottom_verb_en	tocar_fondo_verb_es
cosmic_adjective_en	cósmico_adjective_es
cooking_noun_en	cocina_noun_es
geomorphological_adjective_en	geomorfológico_adjective_es
eversion_noun_en	eversión_noun_es
in_many_respects_adverb_en	en_muchos_aspectos_adverb_es
part_noun_en	papel_noun_es
x-ray_noun_en	rayo_x_noun_es
lossy_adjective_en	disipado_adjective_es
zoning_noun_en	zonificación_noun_es
previous_adjective_en	anterior_adjective_es
laugh_noun_en	risa_noun_es
submarine_noun_en	submarino_noun_es
undemocratic_adjective_en	no_democrático_adjective_es
creation_noun_en	creación_noun_es
neodymium_noun_en	neodimio_noun_es
bitchy_adjective_en	malévolo_adjective_es
usabiaga_propernoun_en	usabiaga_propernoun_es
spheroid_noun_en	esferoide_noun_es
spend_verb_en	pasar_verb_es
plough_verb_en	arar_verb_es
zelaya_propernoun_en	zelaya_propernoun_es
insult_noun_en	injuria_noun_es
islamist_adjective_en	islamista_adjective_es
twelve_hundred_numeral_en	mil_doscientos_numeral_es
nourishment_noun_en	nutrimiento_noun_es
sure_enough_adverb_en	efectivamente_adverb_es
ormazabal_propernoun_en	ormazabal_propernoun_es
good-natured_adjective_en	afable_adjective_es
jacobite_adjective_en	jacobita_adjective_es
zumárraga_propernoun_en	zumárraga_propernoun_es
uniformity_noun_en	uniformidad_noun_es
kamiński_propernoun_en	kamiński_propernoun_es
ministerial_decree_noun_en	orden_ministerial_noun_es
incestuous_adjective_en	incestuoso_adjective_es
bangalore_propernoun_en	bangalore_propernoun_es
rider_noun_en	jinete_noun_es
lyophilisation_noun_en	liofilización_noun_es
atropine_noun_en	atropina_noun_es
doctrine_noun_en	doctrina_noun_es
unprofor_propernoun_en	unprofor_propernoun_es
exhaust_verb_en	agotar_verb_es
participle_noun_en	participio_noun_es
currency_noun_en	moneda_noun_es
scherzando_adverb_en	scherzando_adverb_es
middle-sized_adjective_en	de_tamaño_medio_adjective_es
pause_noun_en	pausa_noun_es
at_a_time_adverb_en	a_la_vez_adverb_es
refrigerator_noun_en	frigorífico_noun_es
in_the_afternoon_adverb_en	por_la_tarde_adverb_es
police_noun_en	policía_noun_es
line_up_verb_en	alinear_verb_es
graze_verb_en	apacentar_verb_es
exhaustiveness_noun_en	exhaustividad_noun_es
synchrony_noun_en	sincronía_noun_es
detail_noun_en	detalle_noun_es
momentary_adjective_en	momentáneo_adjective_es
stapler_noun_en	grapadora_noun_es
proustite_noun_en	proustita_noun_es
hydrocephalus_noun_en	hidrocefalia_noun_es
containment_noun_en	contención_noun_es
collecting_noun_en	coleccionismo_noun_es
try_verb_en	intentar_verb_es
infantry_noun_en	infantería_noun_es
odd_adjective_en	extraño_adjective_es
gorilla_noun_en	gorila_noun_es
instrument_noun_en	instrumento_noun_es
dead_end_job_noun_en	trabajo_sin_perspectivas_noun_es
counsellor_noun_en	asesor_noun_es
catalase_noun_en	catalasa_noun_es
injury_noun_en	daño_noun_es
evergreen_adjective_en	perennifolio_adjective_es
perplexity_noun_en	perplejidad_noun_es
roll_up_verb_en	enrollar_verb_es
deal_verb_en	tratar_verb_es
rhizome_noun_en	rizoma_noun_es
no-fly_zone_noun_en	área_de_exclusión_aérea_noun_es
júlia_propernoun_en	júlia_propernoun_es
gravitation_noun_en	gravitación_noun_es
urbanisation_noun_en	urbanización_noun_es
instructor_noun_en	instructor_noun_es
invite_verb_en	invitar_verb_es
usual_adjective_en	usual_adjective_es
bacteriology_noun_en	bacteriología_noun_es
from_preposition_en	a_partir_de_preposition_es
plant_verb_en	plantar_verb_es
holy_adjective_en	santo_adjective_es
pray_verb_en	rezar_verb_es
ivory_noun_en	marfil_noun_es
fruit_noun_en	fruta_noun_es
shoot_verb_en	disparar_verb_es
and_somewhat_ironically_subordinatingconjunction_en	resulta_irónico_que_subordinatingconjunction_es
podium_noun_en	podio_noun_es
diphthong_noun_en	diftongo_noun_es
granulometry_noun_en	granulometría_noun_es
geometrically_adverb_en	geométricamente_adverb_es
league_noun_en	legua_noun_es
inflation_noun_en	inflación_noun_es
as_go_verb_en	según_salir_verb_es
valley_noun_en	valle_noun_es
postproduction_noun_en	postproducción_noun_es
brain_noun_en	seso_noun_es
lexical_adjective_en	léxico_adjective_es
protectionist_adjective_en	proteccionista_adjective_es
postscript_noun_en	posdata_noun_es
colossal_adjective_en	colosal_adjective_es
asturian_adjective_en	asturiano_adjective_es
ratzinger_propernoun_en	ratzinger_propernoun_es
retouch_verb_en	retocar_verb_es
the_next_sunday_adverb_en	el_próximo_domingo_adverb_es
thrombocyte_noun_en	trombocito_noun_es
pigeon_noun_en	palomo_noun_es
the_ones_who_relativepronoun_en	el_que_relativepronoun_es
the_ones_who_pronoun_en	el_que_pronoun_es
cybernetics_noun_en	cibernética_noun_es
baeza_propernoun_en	baeza_propernoun_es
report_verb_en	denunciar_verb_es
quick_adverb_en	rápidamente_adverb_es
husband_noun_en	esposo_noun_es
clement_xi_propernoun_en	clemente_xi_propernoun_es
mastication_noun_en	masticación_noun_es
motion_noun_en	movimiento_noun_es
arzalluz_propernoun_en	arzalluz_propernoun_es
pothole_noun_en	bache_noun_es
flannel_noun_en	franela_noun_es
bore_verb_en	aburrir_verb_es
extortion_noun_en	extorsión_noun_es
stator_noun_en	estator_noun_es
productive_adjective_en	productivo_adjective_es
tournament_noun_en	torneo_noun_es
juxtaposition_noun_en	yuxtaposición_noun_es
in_an_orderly_way_adverb_en	arregladamente_adverb_es
deputy_noun_en	diputado_noun_es
rail_noun_en	baranda_noun_es
poetic_adjective_en	poético_adjective_es
coke_noun_en	coque_noun_es
tile_verb_en	alicatar_verb_es
dynastic_adjective_en	dinástico_adjective_es
lumber_noun_en	madera_noun_es
bark_noun_en	ladrido_noun_es
incorruptibility_noun_en	incorruptibilidad_noun_es
corroboration_noun_en	corroboración_noun_es
mat_noun_en	estera_noun_es
uninstallation_noun_en	desinstalación_noun_es
ethical_adjective_en	ético_adjective_es
shrink_verb_en	encoger_verb_es
paper_noun_en	artículo_noun_es
ending_noun_en	finalización_noun_es
biomass_noun_en	biomasa_noun_es
blind_verb_en	cegar_verb_es
durán_propernoun_en	durán_propernoun_es
astrana_propernoun_en	astrana_propernoun_es
gymnasium_noun_en	gimnasio_noun_es
psychic_adjective_en	psíquico_adjective_es
of_particular_use_adjective_en	especialmente_útil_adjective_es
determinate_adjective_en	determinado_adjective_es
second_verb_en	secundar_verb_es
informal_adjective_en	informal_adjective_es
waiting_adverb_en	a_la_espera_adverb_es
cadence_noun_en	cadencia_noun_es
equipollent_adjective_en	equipolente_adjective_es
conch_noun_en	caracola_noun_es
apart_adverb_en	aparte_adverb_es
detriment_noun_en	detrimento_noun_es
abidjan_propernoun_en	abiyán_propernoun_es
cabinet_noun_en	gabinete_noun_es
next_autumn_adverb_en	otoño_que_viene_adverb_es
implant_noun_en	implante_noun_es
concentric_adjective_en	concéntrico_adjective_es
doubtless_adverb_en	indudablemente_adverb_es
romantic_adjective_en	romántico_adjective_es
samarium_noun_en	samario_noun_es
theoretically_adverb_en	teóricamente_adverb_es
functionality_noun_en	funcionalidad_noun_es
bounce_verb_en	botar_verb_es
expressionistic_adjective_en	expresionista_adjective_es
tantrum_noun_en	berrinche_noun_es
linux_propernoun_en	linux_propernoun_es
pagination_noun_en	paginación_noun_es
decoder_noun_en	descodificador_noun_es
sharp_guard_propernoun_en	sharp_guard_propernoun_es
give_verb_en	impartir_verb_es
pkk_noun_en	pkk_noun_es
asarta_propernoun_en	asarta_propernoun_es
congratulate_verb_en	dar_la_enhorabuena_a_verb_es
lastly_adverb_en	finalmente_adverb_es
base_verb_en	fundamentar_verb_es
hong_kong_propernoun_en	hong_kong_propernoun_es
catapult_noun_en	catapulta_noun_es
designate_verb_en	designar_verb_es
single-celled_adjective_en	unicelular_adjective_es
result_noun_en	resultado_noun_es
throw_a_party_verb_en	celebrar_una_fiesta_verb_es
consultant_noun_en	asesor_noun_es
coop_noun_en	gallinero_noun_es
fmi_noun_en	fmi_noun_es
enterprise_noun_en	empresa_noun_es
commemoration_noun_en	conmemoración_noun_es
in_tow_adverb_en	a_remolque_adverb_es
blight_noun_en	plaga_noun_es
gammagraphy_noun_en	gammagrafía_noun_es
ectodynamomorphic_adjective_en	ectodinamógeno_adjective_es
mile_noun_en	milla_noun_es
vote_noun_en	voto_noun_es
distend_verb_en	distender_verb_es
in_blocks_adverb_en	en_bloques_adverb_es
benzine_noun_en	gasolina_noun_es
delicatessen_noun_en	charcutería_noun_es
confessional_noun_en	confesionario_noun_es
longitudinal_adjective_en	longitudinal_adjective_es
cream_noun_en	crema_noun_es
practically_adverb_en	prácticamente_adverb_es
be_still_working_verb_en	seguir_funcionando_verb_es
haplic_adjective_en	háplico_adjective_es
leakage_noun_en	escape_noun_es
xerophilous_adjective_en	xerófilo_adjective_es
cope_verb_en	soportar_verb_es
spy_verb_en	espiar_verb_es
arithmetic_noun_en	aritmética_noun_es
alcoholic_adjective_en	alcohólico_adjective_es
hill_noun_en	cerro_noun_es
compel_verb_en	obligar_verb_es
campbell_propernoun_en	campbell_propernoun_es
date_verb_en	datar_verb_es
pretend_verb_en	pretender_verb_es
expansionist_adjective_en	expansionista_adjective_es
flagrant_adjective_en	flagrante_adjective_es
navalón_propernoun_en	navalón_propernoun_es
longhand_adverb_en	a_mano_adverb_es
web_service_noun_en	servicio_web_noun_es
bust_noun_en	busto_noun_es
pigment_noun_en	pigmento_noun_es
proclaim_verb_en	proclamar_verb_es
make-up_noun_en	maquillaje_noun_es
vile_adjective_en	vil_adjective_es
anyhow_adverb_en	en_todo_caso_adverb_es
alberto_propernoun_en	alberto_propernoun_es
australian_noun_en	australiano_noun_es
as_a_result_of_preposition_en	a_raíz_de_preposition_es
drive_mad_verb_en	alocar_verb_es
pragmatism_noun_en	pragmatismo_noun_es
consecutively_adverb_en	consecutivamente_adverb_es
effusive_adjective_en	efusivo_adjective_es
sternum_noun_en	esternón_noun_es
melville_propernoun_en	melville_propernoun_es
bath_noun_en	bañera_noun_es
covariant_adjective_en	covariante_adjective_es
redemption_noun_en	redención_noun_es
brossa_propernoun_en	brossa_propernoun_es
permutable_adjective_en	permutable_adjective_es
neither_coordinatingconjunction_en	ni_coordinatingconjunction_es
benamejí_propernoun_en	benamejí_propernoun_es
replication_noun_en	replicación_noun_es
potentiality_noun_en	potencialidad_noun_es
scooter_noun_en	patinete_noun_es
molality_noun_en	molalidad_noun_es
next_january_adverb_en	el_próximo_enero_adverb_es
eventual_adjective_en	eventual_adjective_es
systematic_adjective_en	sistemático_adjective_es
gear_noun_en	marcha_noun_es
radication_noun_en	radicación_noun_es
smuggling_noun_en	contrabando_noun_es
novelesque_adjective_en	novelesco_adjective_es
weevil_noun_en	gorgojo_noun_es
objectivation_noun_en	objetivación_noun_es
vine_noun_en	parra_noun_es
boy_noun_en	nene_noun_es
anti-doping_adjective_en	antidóping_adjective_es
sail_noun_en	vela_noun_es
alleviation_noun_en	atenuante_noun_es
warhol_propernoun_en	warhol_propernoun_es
swamp_noun_en	ciénaga_noun_es
johannesburg_propernoun_en	johannesburgo_propernoun_es
quarterly_review_noun_en	revisión_trimestral_noun_es
basque_adjective_en	vasco_adjective_es
double_verb_en	plegar_verb_es
ethnicity_noun_en	etnicidad_noun_es
denial_noun_en	denegación_noun_es
premeditation_noun_en	premeditación_noun_es
writer_noun_en	escritor_noun_es
indignant_adjective_en	indignado_adjective_es
guru_noun_en	gurú_noun_es
herd_noun_en	rebaño_noun_es
strontium_noun_en	estroncio_noun_es
triumvirate_noun_en	triunvirato_noun_es
negreira_propernoun_en	negreira_propernoun_es
gothic_adjective_en	godo_adjective_es
accountancy_noun_en	contabilidad_noun_es
litter_verb_en	ensuciar_verb_es
confusion_noun_en	entrevero_noun_es
trill_verb_en	trinar_verb_es
nonsense_noun_en	barbaridad_noun_es
dishonour_verb_en	deshonrar_verb_es
will_noun_en	voluntad_noun_es
illarramendi_propernoun_en	illarramendi_propernoun_es
totalitarianism_noun_en	totalitarismo_noun_es
bilingualism_noun_en	bilingüismo_noun_es
monographic_adjective_en	monográfico_adjective_es
authorisation_for_therapeutic_use_noun_en	aut_noun_es
incoherent_adjective_en	incoherente_adjective_es
boost_noun_en	impulso_noun_es
enhancement_noun_en	trucaje_noun_es
utc_propernoun_en	utc_propernoun_es
rational_adjective_en	racional_adjective_es
