il·legítimament_adverb	ilegitimamente_adverb
courbet_propernoun	courbet_propernoun
nerític_adjective	nerítico_adjective
cerutti_propernoun	cerutti_propernoun
knowles_propernoun	knowles_propernoun
cristofaro_propernoun	cristofaro_propernoun
hurtubise_propernoun	hurtubise_propernoun
conductivitat_noun	condutividade_noun
castelló-de-rugat_propernoun	castelló-de-rugat_propernoun
mobilitat_noun	mobilidade_noun
montà_adjective	montano_adjective
hiperactivitat_noun	hiperatividade_noun
emocionant_adjective	emocionante_adjective
mcenroe_propernoun	mcenroe_propernoun
buscat_adjective	buscado_adjective
sanchís_propernoun	sanchís_propernoun
vicentini_propernoun	vicentini_propernoun
norton_propernoun	norton_propernoun
nus_noun	nodo_noun
eurasiàtic_adjective	eurasiático_adjective
lord_propernoun	lord_propernoun
entre-hores_adverb	entre-as-refeições_adverb
tirànic_adjective	tirânico_adjective
alcocer_propernoun	alcocer_propernoun
modernament_adverb	modernamente_adverb
concitador_adjective	concitador_adjective
castell-de-mur_propernoun	castell-de-mur_propernoun
yevguenia_propernoun	yevguenia_propernoun
metàl·lic_adjective	metálico_adjective
gagnan_propernoun	gagnan_propernoun
generalitzar_verb	generalizar_verb
su_propernoun	su_propernoun
asumir_verb	asumir_verb
creure_verb	crer_verb
mercúric_adjective	mercúrico_adjective
lauriault_propernoun	lauriault_propernoun
mirabelli_propernoun	mirabelli_propernoun
dea_propernoun	dea_propernoun
i-a-mi-què_adverb	e-eu-com-isso_adverb
begur_propernoun	begur_propernoun
escoda_propernoun	escoda_propernoun
inclinació_noun	inclinação_noun
barragán_propernoun	barragán_propernoun
recarregable_adjective	recarregável_adjective
temptar_verb	tentar_verb
milá_propernoun	milá_propernoun
bromatometria_noun	bromatometria_noun
sant-hipòlit-de-voltregà_propernoun	sant-hipòlit-de-voltregà_propernoun
dispensable_adjective	dispensável_adjective
salivós_adjective	salivoso_adjective
desbullat_adjective	desbulhado_adjective
melànic_adjective	melânico_adjective
pilote_propernoun	pilote_propernoun
moseley_propernoun	moseley_propernoun
craxi_propernoun	craxi_propernoun
mentolat_adjective	mentolado_adjective
imatge_noun	imagem_noun
abuli_propernoun	abuli_propernoun
de-santis_propernoun	de-santis_propernoun
barbès_propernoun	barbès_propernoun
infecció_noun	infecção_noun
corts_propernoun	corts_propernoun
onada_noun	onda_noun
despullar_verb	despojar_verb
morfològic_adjective	morfológico_adjective
von-schlosser_propernoun	von-schlosser_propernoun
merseburger_propernoun	merseburger_propernoun
ginestà_propernoun	ginestà_propernoun
isobàric_adjective	isobárico_adjective
apoplexia_noun	apoplexia_noun
mosher_propernoun	mosher_propernoun
tombatossals_propernoun	tombatossals_propernoun
riemann_propernoun	riemann_propernoun
nascimento_propernoun	nascimento_propernoun
sedació_noun	sedação_noun
colorimetria_noun	colorimetria_noun
assíduament_adverb	assiduamente_adverb
muriel_propernoun	muriel_propernoun
algèbricament_adverb	algebricamente_adverb
grob_propernoun	grob_propernoun
urbanitat_noun	urbanidade_noun
darwiche_propernoun	darwiche_propernoun
desamorós_adjective	desamoroso_adjective
decisió_noun	decisão_noun
desconfiar_verb	desconfiar_verb
léonard_propernoun	léonard_propernoun
golgi_propernoun	golgi_propernoun
soddu_propernoun	soddu_propernoun
lozano_propernoun	lozano_propernoun
sarri_propernoun	sarri_propernoun
baró_propernoun	baró_propernoun
meridià_adjective	meridiano_adjective
variar_verb	variar_verb
paranormal_adjective	paranormal_adjective
narrador_noun	narrador_noun
angiola_propernoun	angiola_propernoun
lifante_propernoun	lifante_propernoun
llicenciós_adjective	licencioso_adjective
mutualitat_noun	mutualidade_noun
proveir_verb	prover_verb
fumigatori_adjective	fumigatório_adjective
cleese_propernoun	cleese_propernoun
vergé_propernoun	vergé_propernoun
triola_propernoun	triola_propernoun
minguet_propernoun	minguet_propernoun
laforme_propernoun	laforme_propernoun
gorga_propernoun	gorga_propernoun
neila_propernoun	neila_propernoun
barrero_propernoun	barrero_propernoun
lacasaña_propernoun	lacasaña_propernoun
marinescu_propernoun	marinescu_propernoun
convocatòria_noun	convocação_noun
franquista_noun	franquista_noun
distint_adjective	diferente_adjective
al-contrari_adverb	ao-contrário_adverb
zuccarelli_propernoun	zuccarelli_propernoun
pietri_propernoun	pietri_propernoun
ibn-zuhr_propernoun	ibn-zuhr_propernoun
ecuador_propernoun	ecuador_propernoun
gasperini_propernoun	gasperini_propernoun
cotitzar_verb	cotar_verb
yagüe_propernoun	yagüe_propernoun
stevens_propernoun	stevens_propernoun
tarradellas_propernoun	tarradellas_propernoun
nicoliță_propernoun	nicoliță_propernoun
sakamoto_propernoun	sakamoto_propernoun
irascible_adjective	irascível_adjective
aracil_propernoun	aracil_propernoun
astucia_noun	astucia_noun
adversatiu_adjective	adversativo_adjective
psicopatia_noun	psicopatia_noun
veneçolà_noun	venezuelano_noun
la-torre-d'en-doménec_propernoun	la-torre-d'en-doménec_propernoun
triestí_adjective	triestino_adjective
fiduciari_noun	fiduciário_noun
cicatritzar_verb	cicatrizar_verb
hallikmägi_propernoun	hallikmägi_propernoun
morenilla_propernoun	morenilla_propernoun
paternalista_adjective	paternalista_adjective
báthory_propernoun	báthory_propernoun
trametre_verb	enviar_verb
antull_noun	desejo_noun
verri_propernoun	verri_propernoun
de-paula_propernoun	de-paula_propernoun
teu_adjective	teu_adjective
teu_possessivepronoun	teu_possessivepronoun
designatiu_adjective	designativo_adjective
excursionista_adjective	excursionista_adjective
vendre_verb	vender_verb
von-eskeles_propernoun	von-eskeles_propernoun
jallow_propernoun	jallow_propernoun
dental_adjective	dental_adjective
irritable_adjective	irritável_adjective
pressuritzat_adjective	pressurizado_adjective
irresponsable_adjective	irresponsável_adjective
palúdic_adjective	palúdico_adjective
anzaldi_propernoun	anzaldi_propernoun
esfericitat_noun	esfericidade_noun
clos_propernoun	clos_propernoun
travé_propernoun	travé_propernoun
vilafant_propernoun	vilafant_propernoun
tocable_adjective	tocável_adjective
uniformement_adverb	uniformemente_adverb
gustatori_adjective	gustatório_adjective
envejar_verb	invejar_verb
prevenció_noun	prevenção_noun
teobaldo_propernoun	teobaldo_propernoun
brook_propernoun	brook_propernoun
pettoruti_propernoun	pettoruti_propernoun
ariza_propernoun	ariza_propernoun
grispigni_propernoun	grispigni_propernoun
ecologista_noun	ecologista_noun
campagna_propernoun	campagna_propernoun
del-amo_propernoun	del-amo_propernoun
vulneració_noun	vulneração_noun
burlar_verb	debochar_verb
poussin_propernoun	poussin_propernoun
alcà_noun	alcano_noun
la-pobla-de-farnals_propernoun	la-pobla-de-farnals_propernoun
frusciante_propernoun	frusciante_propernoun
benassal_propernoun	benassal_propernoun
irrealista_adjective	irrealista_adjective
milícia_noun	milícia_noun
lancis_propernoun	lancis_propernoun
cazacu_propernoun	cazacu_propernoun
exterior_adjective	exterior_adjective
maternal_adjective	maternal_adjective
galimany_propernoun	galimany_propernoun
brady_propernoun	brady_propernoun
crane_propernoun	crane_propernoun
folguera_propernoun	folguera_propernoun
piscitello_propernoun	piscitello_propernoun
sabaliauskas_propernoun	sabaliauskas_propernoun
devillers_propernoun	devillers_propernoun
whelan_propernoun	whelan_propernoun
descobriment_noun	descobrimento_noun
tribú_noun	tribuno_noun
osama_propernoun	osama_propernoun
stănculescu_propernoun	stănculescu_propernoun
inconjugable_adjective	inconjugável_adjective
operable_adjective	operável_adjective
lexicològic_adjective	lexicológico_adjective
farhat_propernoun	farhat_propernoun
cassano_propernoun	cassano_propernoun
forlán_propernoun	forlán_propernoun
long_propernoun	long_propernoun
al-sud-oest-de_preposition	a-sudoeste-de_preposition
monòleg_noun	monólogo_noun
catarral_adjective	catarral_adjective
inanició_noun	inanição_noun
indurain_propernoun	indurain_propernoun
amyot_propernoun	amyot_propernoun
savater_propernoun	savater_propernoun
cherrier_propernoun	cherrier_propernoun
inukpuk_propernoun	inukpuk_propernoun
bullich_propernoun	bullich_propernoun
dulude_propernoun	dulude_propernoun
moniz_propernoun	moniz_propernoun
criptologia_noun	criptologia_noun
www_noun	www_noun
caracteritzable_adjective	caracterizável_adjective
sintaxi_noun	sintaxe_noun
peretti_propernoun	peretti_propernoun
porfidia_propernoun	porfidia_propernoun
huot_propernoun	huot_propernoun
homosexual_adjective	homossexual_adjective
presidencialista_noun	presidencialista_noun
joão_propernoun	joão_propernoun
parisé_propernoun	parisé_propernoun
bergevin_propernoun	bergevin_propernoun
fotogràfic_adjective	fotográfico_adjective
abadia_noun	abadia_noun
metge_noun	médico_noun
creativitat_noun	criatividade_noun
imprudent_adjective	imprudente_adjective
agost_noun	agosto_noun
polanski_propernoun	polanski_propernoun
binetti_propernoun	binetti_propernoun
linyola_propernoun	linyola_propernoun
lungu_propernoun	lungu_propernoun
intel·lecte_noun	intelecto_noun
mejía_propernoun	mejía_propernoun
olesa-de-montserrat_propernoun	olesa-de-montserrat_propernoun
ruptura_noun	rutura_noun
sudari_noun	sudário_noun
rúa_propernoun	rúa_propernoun
litosfera_noun	litosfera_noun
etrusc_noun	etrusco_noun
factorial_adjective	factorial_adjective
assignatura_noun	matéria_noun
digestiu_adjective	digestivo_adjective
naixement_noun	nascimento_noun
romney_propernoun	romney_propernoun
psicopatòleg_noun	psicopatologista_noun
maljean_propernoun	maljean_propernoun
trinh_propernoun	trinh_propernoun
beniarjó_propernoun	beniarjó_propernoun
gratis_adverb	grátis_adverb
gobeil_propernoun	gobeil_propernoun
expectació_noun	expectação_noun
enginyer_noun	engenheiro_noun
mongeta_noun	feijão_noun
comatós_adjective	comatoso_adjective
bacteriòleg_noun	bacteriologista_noun
pronòstic_noun	prognóstico_noun
brok_propernoun	brok_propernoun
messi_propernoun	messi_propernoun
bord_noun	bordo_noun
baixo-alentejo_propernoun	baixo-alentejo_propernoun
predomini_noun	predomínio_noun
emulgent_adjective	emulgente_adjective
vuitanta-vuit_numeral	oitenta-e-oito_numeral
aplicablement_adverb	aplicavelmente_adverb
leopardi_propernoun	leopardi_propernoun
parigi_propernoun	parigi_propernoun
endoscòpic_adjective	endoscópico_adjective
gerinlajoie_propernoun	gerinlajoie_propernoun
kadjulik_propernoun	kadjulik_propernoun
enormement_adverb	enormemente_adverb
absentista_adjective	absentista_adjective
labiodental_adjective	labiodental_adjective
rengifo_propernoun	rengifo_propernoun
adversari_adjective	adversário_adjective
acabat_noun	acabado_noun
melissa_propernoun	melissa_propernoun
richter_propernoun	richter_propernoun
administrativament_adverb	administrativamente_adverb
bagnasco_propernoun	bagnasco_propernoun
cabrestant_noun	cabrestante_noun
apocalíptic_adjective	apocalíptico_adjective
marcelle_propernoun	marcelle_propernoun
carty_propernoun	carty_propernoun
pagé_propernoun	pagé_propernoun
haider_propernoun	haider_propernoun
hardy_propernoun	hardy_propernoun
pueo_propernoun	pueo_propernoun
mèdici_propernoun	médici_propernoun
stanley_propernoun	stanley_propernoun
felx_propernoun	felx_propernoun
fonador_adjective	fonador_adjective
papaia_noun	papaia_noun
mascaró_propernoun	mascaró_propernoun
tens_adjective	tenso_adjective
cessar_verb	cessar_verb
micciché_propernoun	micciché_propernoun
espectrografia_noun	espectrografia_noun
bovespa_propernoun	bovespa_propernoun
nimfòmana_noun	ninfomaníaca_noun
laringectomia_noun	laringectomia_noun
finalment_adverb	afinal_adverb
angioni_propernoun	angioni_propernoun
reiteradament_adverb	reiteradamente_adverb
whitman_propernoun	whitman_propernoun
lafantaisie_propernoun	lafantaisie_propernoun
tornés_propernoun	tornés_propernoun
portant_adjective	portante_adjective
la-font-de-la-figuera_propernoun	la-font-de-la-figuera_propernoun
balde_propernoun	balde_propernoun
piroelectricitat_noun	piroelectricidade_noun
han_propernoun	han_propernoun
lélia_propernoun	lélia_propernoun
oficialitat_noun	oficialidade_noun
brenes_propernoun	brenes_propernoun
ribas_propernoun	ribas_propernoun
particularista_adjective	particularista_adjective
la-nou-de-berguedà_propernoun	la-nou-de-berguedà_propernoun
herrera_propernoun	herrera_propernoun
ingresar_verb	ingresar_verb
exactament_adverb	exatamente_adverb
monedero_propernoun	monedero_propernoun
cast_adjective	casto_adjective
jerusalem_propernoun	jerusalém_propernoun
aspirar_verb	aspirar_verb
força_adverb	bastante_adverb
peter_propernoun	peter_propernoun
genova_propernoun	genova_propernoun
astronomia_noun	astronomia_noun
crispo_propernoun	crispo_propernoun
alexa_propernoun	alexa_propernoun
filippi_propernoun	filippi_propernoun
galleda_noun	balde_noun
asimptòtic_adjective	assintótico_adjective
irrecuperabilitat_noun	irrecuperabilidade_noun
vinardell_propernoun	vinardell_propernoun
mercès_interjection	obrigado_interjection
somni_noun	sonho_noun
maoista_adjective	maoista_adjective
orleans_propernoun	orleans_propernoun
odair_propernoun	odair_propernoun
duque_propernoun	duque_propernoun
emocionalment_adverb	emocionalmente_adverb
egea_propernoun	egea_propernoun
providencialista_adjective	providencialista_adjective
condescendència_noun	condescendência_noun
dilluns_noun	segunda-feira_noun
brosa_propernoun	brosa_propernoun
webb_propernoun	webb_propernoun
lacerda_propernoun	lacerda_propernoun
von-sanders_propernoun	von-sanders_propernoun
bombarder_noun	bombardeiro_noun
allí_adverb	ali_adverb
bonastre_propernoun	bonastre_propernoun
racionalisme_noun	racionalismo_noun
ridgeon_propernoun	ridgeon_propernoun
oreneta_noun	andorinha_noun
simfonia_noun	sinfonia_noun
caracterològic_adjective	caraterológico_adjective
plantilla_noun	quadro_noun
prescriure_verb	prescrever_verb
noiseux_propernoun	noiseux_propernoun
oli_noun	azeite_noun
artal_propernoun	artal_propernoun
abelson_propernoun	abelson_propernoun
coti_propernoun	coti_propernoun
lapenna_propernoun	lapenna_propernoun
toma_propernoun	toma_propernoun
galletti_propernoun	galletti_propernoun
antonione_propernoun	antonione_propernoun
raó_noun	razão_noun
mcphee_propernoun	mcphee_propernoun
puto_adjective	puto_adjective
san-rafael-del-río_propernoun	san-rafael-del-río_propernoun
ortopèdic_adjective	ortopédico_adjective
miño_propernoun	minho_propernoun
valenzuela_propernoun	valenzuela_propernoun
seda_noun	seda_noun
alfara-de-carles_propernoun	alfara-de-carles_propernoun
angulo_propernoun	angulo_propernoun
davie_propernoun	davie_propernoun
lizartza_propernoun	lizartza_propernoun
cartotto_propernoun	cartotto_propernoun
augusto_propernoun	augusto_propernoun
equinocci_noun	equinócio_noun
negre_adjective	negro_adjective
loriguilla_propernoun	loriguilla_propernoun
inequívoc_adjective	inequívoco_adjective
mestokosho_propernoun	mestokosho_propernoun
jeff_propernoun	jeff_propernoun
beato_propernoun	beato_propernoun
barberà-del-vallès_propernoun	barberà-del-vallès_propernoun
soros_propernoun	soros_propernoun
intensament_adverb	intensamente_adverb
sintàcticament_adverb	sintacticamente_adverb
judaisme_noun	judaísmo_noun
precaució_noun	precaução_noun
consubstancialitat_noun	consubstancialidade_noun
dolan_propernoun	dolan_propernoun
falguera_propernoun	falguera_propernoun
desafortunat_adjective	desafortunado_adjective
autonòmicament_adverb	autonomicamente_adverb
recollir_verb	coletar_verb
garzón_propernoun	garzón_propernoun
distal_adjective	distal_adjective
são-luís_propernoun	são-luís_propernoun
accentual_adjective	acentual_adjective
intent_noun	intento_noun
observació_noun	observação_noun
influentment_adverb	influentemente_adverb
estronci_noun	estrôncio_noun
reivindicador_adjective	reivindicador_adjective
pilot_noun	piloto_noun
sanchez_propernoun	sanchez_propernoun
cerveró_propernoun	cerveró_propernoun
benedetti_propernoun	benedetti_propernoun
ogassa_propernoun	ogassa_propernoun
funeràriament_adverb	funerariamente_adverb
sabino_propernoun	sabino_propernoun
dir_verb	dizer_verb
contendent_noun	contendente_noun
virregnat_noun	vice-realeza_noun
mateu_propernoun	mateus_propernoun
rendibilitat_noun	rentabilidade_noun
tudose_propernoun	tudose_propernoun
hidrodinàmica_noun	hidrodinâmica_noun
doucet_propernoun	doucet_propernoun
dorment_adjective	dormente_adjective
subsunció_noun	subsunção_noun
ettori_propernoun	ettori_propernoun
perpetuador_noun	perpetuador_noun
làmpada_noun	abajur_noun
armenteros_propernoun	armenteros_propernoun
directiu_noun	diretor_noun
provera_propernoun	provera_propernoun
gaetti_propernoun	gaetti_propernoun
gaire_adverb	muito_adverb
dorsal_adjective	dorsal_adjective
senior_propernoun	senior_propernoun
ghana_propernoun	ghana_propernoun
ghazzaoui_propernoun	ghazzaoui_propernoun
al-sud_adverb	a-sul_adverb
topològicament_adverb	topologicamente_adverb
concòrdia_noun	concórdia_noun
tornar-a-encendre_verb	reacender_verb
crimea_propernoun	crimeia_propernoun
fallida_noun	falência_noun
coma_noun	vírgula_noun
electroencefalogràfic_adjective	electroencefalográfico_adjective
montanejos_propernoun	montanejos_propernoun
paradigma_noun	paradigma_noun
forjador_adjective	forjador_adjective
bousquet_propernoun	bousquet_propernoun
dachs_propernoun	dachs_propernoun
creuar_verb	cruzar_verb
bailon_propernoun	bailon_propernoun
dellà-ahir_adverb	anteontem_adverb
el-haddad_propernoun	el-haddad_propernoun
hidrotèrmic_adjective	hidrotérmico_adjective
antipirètic_adjective	antipirético_adjective
morganàtic_adjective	morganático_adjective
falcó_propernoun	falcó_propernoun
ritual_noun	ritual_noun
durnwalder_propernoun	durnwalder_propernoun
psp_propernoun	psp_propernoun
deusdad_propernoun	deusdad_propernoun
abdicar_verb	abdicar_verb
alimentador_adjective	alimentador_adjective
cajuste_propernoun	cajuste_propernoun
narcotitzar_verb	narcotizar_verb
assistent_adjective	assistente_adjective
mèrit_noun	mérito_noun
boston_propernoun	boston_propernoun
formentera_propernoun	formentera_propernoun
prohibir_verb	proibir_verb
expressió_noun	expressão_noun
bibo_propernoun	bibo_propernoun
cultivable_adjective	cultivável_adjective
mazzaro_propernoun	mazzaro_propernoun
pragmàtic_adjective	pragmático_adjective
susceptància_noun	susceptância_noun
mil-milions_noun	bilhão_noun
devessall_noun	avalanche_noun
sufixació_noun	sufixação_noun
rosenthal_propernoun	rosenthal_propernoun
padulles_propernoun	padulles_propernoun
forçadament_adverb	forçadamente_adverb
caserna_noun	quartel_noun
estar_verb	ser_verb
alfosea_propernoun	alfosea_propernoun
serral_propernoun	serral_propernoun
fiscalització_noun	fiscalização_noun
anton_propernoun	anton_propernoun
reconcentració_noun	reconcentração_noun
renegociació_noun	renegociação_noun
carnívor_adjective	carnívoro_adjective
nucleònic_adjective	nucleônico_adjective
advocacia_noun	advocacia_noun
multilateralment_adverb	multilateralmente_adverb
salvi_propernoun	salvi_propernoun
resultar_verb	advir_verb
aldoma_propernoun	aldoma_propernoun
psb_propernoun	psb_propernoun
segregatiu_adjective	segregativo_adjective
palomeque_propernoun	palomeque_propernoun
crepuscle_noun	crepúsculo_noun
respiratori_adjective	respiratório_adjective
lobato_propernoun	lobato_propernoun
villemain_propernoun	villemain_propernoun
liria_propernoun	liria_propernoun
pop_noun	polvo_noun
rositani_propernoun	rositani_propernoun
apol·lo_propernoun	apolo_propernoun
recinas_propernoun	recinas_propernoun
visitar_verb	visitar_verb
wiggins_propernoun	wiggins_propernoun
forjar_verb	forjar_verb
algun_determiner	algum_determiner
temeràriament_adverb	temerariamente_adverb
protoplasmàtic_adjective	protoplasmático_adjective
bendinelli_propernoun	bendinelli_propernoun
estendre_verb	estender_verb
alfara-del-patriarca_propernoun	alfara-del-patriarca_propernoun
guinea-conakry_propernoun	guiné_propernoun
artificialitat_noun	artificialidade_noun
transalpí_adjective	transalpino_adjective
hivernar_verb	invernar_verb
mazzola_propernoun	mazzola_propernoun
llombard_noun	lombardo_noun
pociello_propernoun	pociello_propernoun
desmoralitzador_adjective	desmoralizador_adjective
perfeccionament_noun	aperfeiçoamento_noun
valencià_noun	valenciano_noun
barrachina_propernoun	barrachina_propernoun
polonio_propernoun	polonio_propernoun
homozigòtic_adjective	homozigótico_adjective
estabilitzar_verb	estabilizar_verb
defensivament_adverb	defensivamente_adverb
fonamentalista_noun	fundamentalista_noun
club_noun	clube_noun
antagonisme_noun	antagonismo_noun
abissal_adjective	abissal_adjective
introduir_verb	introduzir_verb
d'orlandi_propernoun	d'orlandi_propernoun
fondó-dels-frares_propernoun	hondón-de-los-frailes_propernoun
saladie_propernoun	saladie_propernoun
quisling_propernoun	quisling_propernoun
mandalà_propernoun	mandalà_propernoun
impracticable_adjective	impraticável_adjective
bejís_propernoun	bejís_propernoun
brunini_propernoun	brunini_propernoun
prelat_noun	prelado_noun
quaresimin_propernoun	quaresimin_propernoun
forestal_adjective	florestal_adjective
rosenberg_propernoun	rosenberg_propernoun
ventalló_propernoun	ventalló_propernoun
amalia_propernoun	amalia_propernoun
magnífic_adjective	magnífico_adjective
fisiopatològic_adjective	fisiopatológico_adjective
osculació_noun	osculação_noun
migjorn_noun	meio-dia_noun
pinochet_propernoun	pinochet_propernoun
cornet_propernoun	cornet_propernoun
haver-de_modal	haver-de_modal
te_noun	chá_noun
embrionàriament_adverb	embrionariamente_adverb
buscio_propernoun	buscio_propernoun
saccardi_propernoun	saccardi_propernoun
monjo_noun	freira_noun
siragusa_propernoun	siragusa_propernoun
palazon_propernoun	palazon_propernoun
higienitzar_verb	higienizar_verb
ratpenat_noun	morcego_noun
bréjnev_propernoun	brejnev_propernoun
nieves_propernoun	nieves_propernoun
paremiològic_adjective	paremiológico_adjective
consistori_noun	consistório_noun
da-cunha_propernoun	da-cunha_propernoun
fermentació_noun	fermentação_noun
greco_propernoun	greco_propernoun
incomparablement_adverb	incomparavelmente_adverb
escombraries_noun	lixo_noun
concentrat_noun	concentrado_noun
esmerçar_verb	investir_verb
aspectual_adjective	aspectual_adjective
matutes_propernoun	matutes_propernoun
voiculeț_propernoun	voiculeț_propernoun
kosatík_propernoun	kosatík_propernoun
teatre_noun	teatro_noun
pare_noun	padre_noun
iber_noun	íberico_noun
cantó_propernoun	cantó_propernoun
vignolo_propernoun	vignolo_propernoun
apetir_verb	apetecer_verb
mulim_propernoun	mulim_propernoun
pallarols_propernoun	pallarols_propernoun
implant_noun	implante_noun
secessionista_noun	secessionista_noun
malnutrició_noun	malnutrição_noun
england_propernoun	england_propernoun
seccareccia_propernoun	seccareccia_propernoun
torri_propernoun	torri_propernoun
saglia_propernoun	saglia_propernoun
aproximació_noun	aproximação_noun
mcmullen_propernoun	mcmullen_propernoun
homologia_noun	homologia_noun
grimaldi_propernoun	grimaldi_propernoun
bus_noun	autocarro_noun
arbat_propernoun	arbat_propernoun
stendhal_propernoun	stendhal_propernoun
rockfeller_propernoun	rockfeller_propernoun
lemercier_propernoun	lemercier_propernoun
harry_propernoun	harry_propernoun
de-manera-que_subordinatingconjunction	de-sorte-que_subordinatingconjunction
habituat_adjective	habituado_adjective
amado_propernoun	amado_propernoun
especialista_adjective	especialista_adjective
alzira_propernoun	alzira_propernoun
frustrador_adjective	frustrador_adjective
espaventós_adjective	espaventoso_adjective
catar_verb	provar_verb
cabina_noun	cabine_noun
garriga_propernoun	garriga_propernoun
inestabilitat_noun	instabilidade_noun
peticionari_adjective	peticionário_adjective
gamache_propernoun	gamache_propernoun
babineau_propernoun	babineau_propernoun
kruger_propernoun	kruger_propernoun
marcé_propernoun	marcé_propernoun
fraternitat_noun	fraternidade_noun
aromatització_noun	aromatização_noun
oscar_propernoun	oscar_propernoun
vaillancourt_propernoun	vaillancourt_propernoun
buñol_propernoun	buñol_propernoun
drapeau_propernoun	drapeau_propernoun
prevaler_verb	prevalecer_verb
armas_propernoun	armas_propernoun
esbós_noun	esquema_noun
pavelló_noun	pavilhão_noun
prosopogràfic_adjective	prosopográfico_adjective
abrasament_noun	abrasamento_noun
touadi_propernoun	touadi_propernoun
milone_propernoun	milone_propernoun
mamà_noun	mamãe_noun
ullrich_propernoun	ullrich_propernoun
externalitat_noun	externalidade_noun
ordi_noun	cevada_noun
martines_propernoun	martines_propernoun
f_noun	f_noun
administrar_verb	administrar_verb
neutralitat_noun	neutralidade_noun
estrabisme_noun	estrabismo_noun
pavès_noun	pavês_noun
porto-velho_propernoun	porto-velho_propernoun
amb_preposition	com_preposition
sacada_noun	saque_noun
salter_propernoun	salter_propernoun
velador_adjective	velador_adjective
substantiu_adjective	substantivo_adjective
estieu_propernoun	estieu_propernoun
criminològic_adjective	criminológico_adjective
helar_verb	helar_verb
mandela_propernoun	mandela_propernoun
leontini_propernoun	leontini_propernoun
longtin_propernoun	longtin_propernoun
sospir_noun	suspiro_noun
mastodòntic_adjective	mastodôntico_adjective
poloni_noun	polônio_noun
lícit_adjective	lícito_adjective
considerar_verb	considerar_verb
nociu_adjective	daninho_adjective
sud_noun	sul_noun
newashish_propernoun	newashish_propernoun
beniflá_propernoun	beniflá_propernoun
sant-iscle-de-vallalta_propernoun	sant-iscle-de-vallalta_propernoun
choudhury_propernoun	choudhury_propernoun
assabentar_verb	inteirar_verb
jahn_propernoun	jahn_propernoun
fluvi_propernoun	fluvi_propernoun
décarie_propernoun	décarie_propernoun
halièutic_adjective	haliêutico_adjective
rebut_noun	recibo_noun
rediviu_adjective	redivivo_adjective
carament_adverb	caramente_adverb
reincident_noun	reincidente_noun
desena_noun	dezena_noun
directorial_adjective	directorial_adjective
dictar_verb	ditar_verb
conversa_noun	conversação_noun
dusablon_propernoun	dusablon_propernoun
finnegan_propernoun	finnegan_propernoun
obesitat_noun	obesidade_noun
valcárcel_propernoun	valcárcel_propernoun
imaz_propernoun	imaz_propernoun
sgps_propernoun	sgps_propernoun
inspecció_noun	inspecção_noun
il·lusió_noun	ilusão_noun
barzilai_propernoun	barzilai_propernoun
equalització_noun	equalização_noun
repel·lent_adjective	repelente_adjective
ewing_propernoun	ewing_propernoun
espanyol_noun	espanhol_noun
còmode_adjective	à-vontade_adjective
noel_propernoun	noel_propernoun
metonímic_adjective	metonímico_adjective
fantetti_propernoun	fantetti_propernoun
reixach_propernoun	reixach_propernoun
fotocomposició_noun	fotocomposição_noun
bessel_propernoun	bessel_propernoun
incessant_adjective	incessante_adjective
aplanat_adjective	aplanado_adjective
mitral_adjective	mitral_adjective
bicel·lular_adjective	bicelular_adjective
quinquefoliat_adjective	quinquefoliado_adjective
schulz_propernoun	schulz_propernoun
forçudament_adverb	forçudamente_adverb
benissanet_propernoun	benissanet_propernoun
de-matos_propernoun	de-matos_propernoun
malèvolament_adverb	malevolamente_adverb
bel·ligerant_adjective	beligerante_adjective
desprendre_verb	desprender_verb
fraccionari_adjective	fraccionário_adjective
romeva_propernoun	romeva_propernoun
lleoní_adjective	leonino_adjective
ochando_propernoun	ochando_propernoun
eisenhower_propernoun	eisenhower_propernoun
orsi_propernoun	orsi_propernoun
adamític_adjective	adamítico_adjective
col·lateralitat_noun	colateralidade_noun
mostra_noun	amostra_noun
incostante_propernoun	incostante_propernoun
serena_propernoun	serena_propernoun
deixat_adjective	deixado_adjective
orientalitzar_verb	orientalizar_verb
balza_propernoun	balza_propernoun
al-zawahiri_propernoun	al-zawahiri_propernoun
cosmogonia_noun	cosmogonia_noun
roderic_propernoun	roderic_propernoun
aratori_adjective	aratório_adjective
fins-a-mitjan_preposition	até-meados-de_preposition
liszt_propernoun	liszt_propernoun
luciana_propernoun	luciana_propernoun
albatera_propernoun	albatera_propernoun
municipalització_noun	municipalização_noun
danton_propernoun	danton_propernoun
cremar_verb	queimar_verb
molinari_propernoun	molinari_propernoun
organitzacional_adjective	organizacional_adjective
noranta_numeral	noventa_numeral
simpàticament_adverb	simpaticamente_adverb
fantini_propernoun	fantini_propernoun
físic_adjective	físico_adjective
permís_noun	permissão_noun
judicial_adjective	judicial_adjective
montané_propernoun	montané_propernoun
mcsween_propernoun	mcsween_propernoun
diligència_noun	diligência_noun
clau_noun	chave_noun
inquietant_adjective	inquietante_adjective
ascens_noun	ascensão_noun
gaspar_propernoun	gaspar_propernoun
aspirador_noun	aspirador_noun
sauvageau_propernoun	sauvageau_propernoun
petrolier_adjective	petroleiro_adjective
sorprès_adjective	surpreso_adjective
quilomètric_adjective	quilométrico_adjective
schliemann_propernoun	schliemann_propernoun
