waiting-for_preposition_en	esperando-a_preposition_es
confrontation_noun_en	confrontación_noun_es
epiglottis_noun_en	epiglotis_noun_es
yoga_noun_en	yoga_noun_es
caution_noun_en	amonestación_noun_es
photoelectrochemical_adjective_en	fotoelectroquímico_adjective_es
faithful_adjective_en	fiel_adjective_es
abstraction_noun_en	abstracción_noun_es
walkout_noun_en	huelga_noun_es
deadline_noun_en	fecha-límite_noun_es
dyadic_adjective_en	diádico_adjective_es
synchronous_adjective_en	síncrono_adjective_es
strang_propernoun_en	strang_propernoun_es
ponytail_noun_en	coleta_noun_es
serial_noun_en	culebrón_noun_es
methodological_adjective_en	metodológico_adjective_es
disciple_noun_en	discípulo_noun_es
gay-lussac_propernoun_en	gay-lussac_propernoun_es
see-the-point_verb_en	coger-la-gracia_verb_es
either-way_adverb_en	por-pitos-o-flautas_adverb_es
deprive_verb_en	privar_verb_es
hit_verb_en	acertar_verb_es
inn_noun_en	fonda_noun_es
refractory_adjective_en	refractario_adjective_es
addled_adjective_en	podrido_adjective_es
compose_verb_en	componer_verb_es
true_adjective_en	verdadero_adjective_es
aerodrome_noun_en	aeródromo_noun_es
iteration_noun_en	iteración_noun_es
edible_adjective_en	comestible_adjective_es
euthanasia_noun_en	eutanasia_noun_es
alliance_noun_en	alianza_noun_es
drive_verb_en	conducir_verb_es
labein_propernoun_en	labein_propernoun_es
pepper_noun_en	pimiento_noun_es
vulcanism_noun_en	vulcanismo_noun_es
pillory_noun_en	picota_noun_es
brunei-darussalam_propernoun_en	brunéi_propernoun_es
somali_noun_en	somalí_noun_es
fort-wayne_propernoun_en	fort-wayne_propernoun_es
misgovernment_noun_en	desgobierno_noun_es
cork_noun_en	corcho_noun_es
lavender_noun_en	espliego_noun_es
accessibility_noun_en	accesibilidad_noun_es
wilshere_propernoun_en	wilshere_propernoun_es
analogical_adjective_en	analógico_adjective_es
allot_verb_en	asignar_verb_es
alderwoman_noun_en	concejal_noun_es
sustenance_noun_en	sustentación_noun_es
costume_noun_en	traje_noun_es
lure_verb_en	engañar_verb_es
staff_noun_en	personal_noun_es
muck_noun_en	estiércol_noun_es
rage_noun_en	cólera_noun_es
fulfil_verb_en	cumplir_verb_es
fortress_noun_en	alcázar_noun_es
attitude_noun_en	actitud_noun_es
bankrupt-economy_noun_en	economía-en-quiebra_noun_es
peacock_noun_en	pavón_noun_es
nucleic-acid_noun_en	ácido-nucleico_noun_es
statistics_noun_en	estadístico_noun_es
scored_adjective_en	puntuable_adjective_es
be-steeped-in_verb_en	rezumar_verb_es
heat_verb_en	calentar_verb_es
drench_verb_en	empapar_verb_es
ammeter_noun_en	amperímetro_noun_es
to-start-with_adverb_en	para-empezar_adverb_es
keel_noun_en	quilla_noun_es
demographer_noun_en	demógrafo_noun_es
metallurgical_adjective_en	metalúrgico_adjective_es
up-to-the-present_adverb_en	hasta-ahora_adverb_es
pena_propernoun_en	pena_propernoun_es
american_noun_en	americano_noun_es
macromolecule_noun_en	macromolécula_noun_es
gear_noun_en	engranaje_noun_es
one-trillion_numeral_en	un-billón-de_numeral_es
emerald_noun_en	esmeralda_noun_es
jacobist_adjective_en	jacobita_adjective_es
depilation_noun_en	depilación_noun_es
intestate_adverb_en	ab-intestato_adverb_es
freemasonry_noun_en	francmasonería_noun_es
stuffing_noun_en	embutido_noun_es
deeply_adverb_en	profundamente_adverb_es
confidence_noun_en	desenfado_noun_es
intact_adjective_en	intacto_adjective_es
sahel_propernoun_en	sahel_propernoun_es
exuberance_noun_en	exuberancia_noun_es
medina_propernoun_en	medina_propernoun_es
humidity_noun_en	humedad_noun_es
stardom_noun_en	estrellato_noun_es
trailing_adjective_en	final_adjective_es
iceberg_noun_en	iceberg_noun_es
dish_noun_en	plato_noun_es
rid_verb_en	librar_verb_es
ramírez_propernoun_en	ramírez_propernoun_es
makeup-artist_noun_en	maquillador_noun_es
jersey_noun_en	maillot_noun_es
kovács_propernoun_en	kovács_propernoun_es
domain_noun_en	ámbito_noun_es
anchor_verb_en	anclar_verb_es
origin_noun_en	procedencia_noun_es
jane_propernoun_en	jane_propernoun_es
nature_noun_en	naturaleza_noun_es
moonstone_noun_en	piedra-de-la-luna_noun_es
clement-iii_propernoun_en	clemente-iii_propernoun_es
close-to-tears_adverb_en	a-punto-de-llorar_adverb_es
soldier_noun_en	soldado_noun_es
keep-on-being_verb_en	seguir-siendo_verb_es
deductible_adjective_en	deducible_adjective_es
abstemious_adjective_en	abstemio_adjective_es
clothes_noun_en	ropa_noun_es
cross-country-skiing_noun_en	esquí-de-fondo_noun_es
stupidly_adverb_en	bobamente_adverb_es
magnetometer_noun_en	magnetómetro_noun_es
hook_noun_en	anzuelo_noun_es
professionalism_noun_en	profesionalidad_noun_es
kindness_noun_en	bondad_noun_es
mutter_verb_en	murmurar_verb_es
isogloss_noun_en	isoglosa_noun_es
in-circunference_adverb_en	circunferencialmente_adverb_es
diaspora_noun_en	diáspora_noun_es
american_noun_en	estadounidense_noun_es
date_noun_en	cita_noun_es
malefactor_noun_en	malhechor_noun_es
suspension-point_noun_en	punto-suspensivo_noun_es
iriarte_propernoun_en	iriarte_propernoun_es
fake_verb_en	fingir_verb_es
aneurism_noun_en	aneurisma_noun_es
kidnapping_noun_en	secuestro_noun_es
semolina_noun_en	sémola_noun_es
gemination_noun_en	geminación_noun_es
eliminate_verb_en	eliminar_verb_es
standardisation_noun_en	estandarización_noun_es
lilac_adjective_en	lila_adjective_es
polyphonic_adjective_en	polifónico_adjective_es
sierra-leone_propernoun_en	sierra-leona_propernoun_es
digger_noun_en	excavadora_noun_es
argue_verb_en	argumentar_verb_es
bassoon_noun_en	fagot_noun_es
rush-into-a-decision_verb_en	decidir-atropelladamente_verb_es
yugoslavian_noun_en	yugoslavo_noun_es
carefully_adverb_en	cuidadosamente_adverb_es
vase_noun_en	búcaro_noun_es
kross_propernoun_en	kross_propernoun_es
under_preposition_en	debajo-de_preposition_es
bureaucracy_noun_en	burocracia_noun_es
cabriolet_noun_en	cabriolet_noun_es
running-water_noun_en	agua-corriente_noun_es
perspicacity_noun_en	perspicacia_noun_es
trash-bag_noun_en	bolsa-de-la-basura_noun_es
direction_noun_en	dirección_noun_es
lace_noun_en	encaje_noun_es
busquets_propernoun_en	busquets_propernoun_es
own-eye_noun_en	propio-ojo_noun_es
back_adjective_en	posterior_adjective_es
individual-incentive-plan_noun_en	plan-de-incentivo-individualizado_noun_es
on-his-initiative_adverb_en	bajo-su-iniciativa_adverb_es
balneotherapy_noun_en	balneoterapia_noun_es
of-little-account_adverb_en	de-poca-importancia_adverb_es
morgan_propernoun_en	morgan_propernoun_es
release_noun_en	emisión_noun_es
bullfighting-business_noun_en	mundo-taurino_noun_es
eccentric_adjective_en	excéntrico_adjective_es
partnership_noun_en	sociedad_noun_es
seasonal_adjective_en	propio-del-tiempo_adjective_es
bravo_propernoun_en	bravo_propernoun_es
volemie_noun_en	volemia_noun_es
steamboat_noun_en	buque-de-vapor_noun_es
posthumous_adjective_en	póstumo_adjective_es
breastbone_noun_en	esternón_noun_es
subtype_noun_en	subtipo_noun_es
satiate_verb_en	saciar_verb_es
the-next-november_adverb_en	el-próximo-noviembre_adverb_es
couple_noun_en	pareja_noun_es
psychoanalytical_adjective_en	psicoanalítico_adjective_es
osuna_propernoun_en	osuna_propernoun_es
remove_verb_en	quitar_verb_es
pipe_noun_en	tubo_noun_es
erotism_noun_en	erotismo_noun_es
torrejón-de-ardoz_propernoun_en	torrejón-de-ardoz_propernoun_es
carolinas_propernoun_en	carolinas_propernoun_es
dupont_propernoun_en	dupont_propernoun_es
in-apposition_adverb_en	en-aposición_adverb_es
cluck_verb_en	clocar_verb_es
thematic_adjective_en	temático_adjective_es
lover_noun_en	amante_noun_es
her-majesty_noun_en	su-majestad_noun_es
winning_adjective_en	ganador_adjective_es
faroese_adjective_en	faroés_adjective_es
point_verb_en	señalar_verb_es
mucus_noun_en	moco_noun_es
nesbitt_propernoun_en	nesbitt_propernoun_es
shoe_noun_en	zapato_noun_es
populariser_noun_en	divulgador_noun_es
pragmatic_adjective_en	pragmático_adjective_es
cocoon_noun_en	capullo_noun_es
cutter_noun_en	cutter_noun_es
secessionism_noun_en	secesionismo_noun_es
volunteering_noun_en	voluntariado_noun_es
quinine_noun_en	quinina_noun_es
more-than-ever_adverb_en	más-que-nunca_adverb_es
rim_noun_en	brocal_noun_es
clement-xiii_propernoun_en	clemente-xiii_propernoun_es
dermatologist_noun_en	dermatólogo_noun_es
litre-of-spirits_noun_en	litro-de-alcohol_noun_es
miscellanea_noun_en	miscelánea_noun_es
cloth_noun_en	ropa_noun_es
dell'alba_propernoun_en	dell'alba_propernoun_es
consensus_noun_en	consenso_noun_es
barbarous_adjective_en	bárbaro_adjective_es
renaissance_noun_en	renacimiento_noun_es
prostatic_adjective_en	prostático_adjective_es
dribble_verb_en	regatear_verb_es
mat_noun_en	alfombrilla_noun_es
encyclopaedic_adjective_en	enciclopédico_adjective_es
great-great-grandmother_noun_en	tatarabuelo_noun_es
reanimation_noun_en	reanimación_noun_es
bang_verb_en	golpear_verb_es
pipe_noun_en	pipa_noun_es
expressive_adjective_en	expresivo_adjective_es
ceratin_noun_en	ceratina_noun_es
rain_verb_en	llover_verb_es
photometer_noun_en	fotómetro_noun_es
be-abreast_verb_en	estar-al-corriente_verb_es
tramontana_propernoun_en	tramontana_propernoun_es
hyperplasia_noun_en	hiperplasia_noun_es
comprehensive_adjective_en	comprensible_adjective_es
disseminate_verb_en	diseminar_verb_es
'_punctuation_en	'_punctuation_es
willingness_noun_en	disposición_noun_es
chard_noun_en	bleda_noun_es
drastically_adverb_en	drásticamente_adverb_es
descriptor_noun_en	descriptor_noun_es
range_noun_en	registro_noun_es
hydrodynamic_adjective_en	hidrodinámico_adjective_es
stable_noun_en	establo_noun_es
anticyclonic_adjective_en	anticiclónico_adjective_es
awning_noun_en	toldo_noun_es
their-highnesses_noun_en	sus-altezas_noun_es
camp-butmir_propernoun_en	camp-butmir_propernoun_es
certified-copy_noun_en	fotocopia-compulsada_noun_es
neighbourhood_noun_en	vecindario_noun_es
western_adjective_en	occidental_adjective_es
pubic_adjective_en	púbico_adjective_es
populational_adjective_en	poblacional_adjective_es
transfer_noun_en	transbordo_noun_es
what-the-fuck_interrogativepronoun_en	qué-coño_interrogativepronoun_es
disco_noun_en	discoteca_noun_es
lightly_adverb_en	ligeramente_adverb_es
mobile_adjective_en	móvil_adjective_es
install_verb_en	instalar_verb_es
instruction_noun_en	instrucción_noun_es
cotton-plant_noun_en	algodonero_noun_es
porthole_noun_en	portillo_noun_es
unprotected_adjective_en	desprotegido_adjective_es
mitterrand_propernoun_en	mitterrand_propernoun_es
mediation_noun_en	mediación_noun_es
hide_verb_en	esconder_verb_es
acrylic_noun_en	acrílico_noun_es
right-winger_noun_en	extremo-derecha_noun_es
subarea_noun_en	subárea_noun_es
phlebotomy_noun_en	flebotomía_noun_es
waiting-for-godot_propernoun_en	esperando-a-godot_propernoun_es
magnificence_noun_en	magnificencia_noun_es
nut_noun_en	tuerca_noun_es
trust_noun_en	confianza_noun_es
animality_noun_en	animalidad_noun_es
stalin_propernoun_en	stalin_propernoun_es
diabolical_adjective_en	diabólico_adjective_es
panoramic_adjective_en	panorámico_adjective_es
desirable_adjective_en	deseable_adjective_es
arganda-del-rey_propernoun_en	arganda-del-rey_propernoun_es
lease-with-purchase-option_noun_en	alquiler-con-opción-a-compra_noun_es
brushstroke_noun_en	brochazo_noun_es
dissociate_verb_en	disociar_verb_es
occur_verb_en	ocurrir_verb_es
etb_noun_en	etb_noun_es
silt_noun_en	cieno_noun_es
effector_noun_en	efector_noun_es
women's-institute_propernoun_en	instituto-de-la-mujer_propernoun_es
lovingly_adverb_en	amorosamente_adverb_es
roundabout_noun_en	rotonda_noun_es
noose_noun_en	lazo_noun_es
chess-player_noun_en	ajedrecista_noun_es
stabilizer_noun_en	estabilizador_noun_es
cling_verb_en	aferrarse_verb_es
briefly_adverb_en	compendiosamente_adverb_es
cocktail_noun_en	cóctel_noun_es
lancelot-du-lac_propernoun_en	lanzarote-del-lago_propernoun_es
shoemaker_propernoun_en	shoemaker_propernoun_es
pediculosis_noun_en	pediculosis_noun_es
former_adjective_en	anterior_adjective_es
squabble_noun_en	riña_noun_es
entry_noun_en	ingreso_noun_es
radiometer_noun_en	radiómetro_noun_es
masculine_adjective_en	masculino_adjective_es
lacquer_noun_en	laca_noun_es
badge_noun_en	placa_noun_es
oregano_noun_en	orégano_noun_es
diminish_verb_en	disminuir_verb_es
distrust_noun_en	recelo_noun_es
turkish_adjective_en	turco_adjective_es
laughter_noun_en	risa_noun_es
aphonia_noun_en	afonía_noun_es
sedef_propernoun_en	sedef_propernoun_es
future_noun_en	porvenir_noun_es
sardine_noun_en	sardina_noun_es
hint_verb_en	dar-a-entender_verb_es
pyrenees_propernoun_en	pirineo_propernoun_es
do-a-course_verb_en	seguir-un-curso_verb_es
controversial_adjective_en	controvertido_adjective_es
imperative_adjective_en	imperativo_adjective_es
nuclear-weapon_noun_en	arma-nuclear_noun_es
qualification_noun_en	calificación_noun_es
reinsurance_noun_en	reaseguro_noun_es
yet_adverb_en	todavía_adverb_es
anonymous_adjective_en	anónimo_adjective_es
live-coverage_noun_en	cobertura-en-directo_noun_es
intonation_noun_en	entonación_noun_es
ratp_noun_en	ratp_noun_es
which_pronoun_en	el-cual_pronoun_es
fox_noun_en	zorro_noun_es
kimberlite_noun_en	kimberlita_noun_es
qualification_noun_en	capacitación_noun_es
spare_adjective_en	de-repuesto_adjective_es
restoration_noun_en	restauración_noun_es
costa-blanca_propernoun_en	costa-blanca_propernoun_es
drink_noun_en	bebida_noun_es
persia_propernoun_en	persia_propernoun_es
few_determiner_en	poco_determiner_es
few_demonstrativepronoun_en	poco_demonstrativepronoun_es
few_pronoun_en	poco_pronoun_es
few_determiner_en	poco_determiner_es
few_demonstrativepronoun_en	poco_demonstrativepronoun_es
few_pronoun_en	poco_pronoun_es
few_determiner_en	poco_determiner_es
few_demonstrativepronoun_en	poco_demonstrativepronoun_es
few_pronoun_en	poco_pronoun_es
few_determiner_en	poco_determiner_es
joan-of-arc_propernoun_en	juana-de-arco_propernoun_es
reserve-currency_noun_en	moneda-de-reserva_noun_es
answer_noun_en	respuesta_noun_es
repeatedly_adverb_en	repetidamente_adverb_es
conduction_noun_en	conducción_noun_es
petroferric_adjective_en	petroférrico_adjective_es
parietal_adjective_en	parietal_adjective_es
aquarius_propernoun_en	aquarius_propernoun_es
like_verb_en	gustar_verb_es
goodbye_interjection_en	adiós_interjection_es
satrap_noun_en	sátrapa_noun_es
dribbling_noun_en	regate_noun_es
halfway_adverb_en	hasta-la-mitad_adverb_es
streetcar_noun_en	tranvía_noun_es
nostril_noun_en	narina_noun_es
caparrós_propernoun_en	caparrós_propernoun_es
mare_noun_en	yegua_noun_es
state-of-the-art_adjective_en	moderno_adjective_es
impulse_noun_en	impulso_noun_es
monitoring_noun_en	control_noun_es
dakotas_propernoun_en	dakotas_propernoun_es
table_verb_en	someter_verb_es
substructure_noun_en	subestructura_noun_es
wind-direction_noun_en	dirección-del-viento_noun_es
vilno_propernoun_en	vilna_propernoun_es
flourishing_adjective_en	floreciente_adjective_es
hydrate_noun_en	hidrato_noun_es
box_noun_en	caja_noun_es
tile_noun_en	azulejo_noun_es
philosophically_adverb_en	filosóficamente_adverb_es
cholera_noun_en	cólera_noun_es
adversity_noun_en	adversidad_noun_es
fellowship_noun_en	camaradería_noun_es
aluminous_adjective_en	aluminoso_adjective_es
second_determiner_en	segundo_determiner_es
biological_adjective_en	biológico_adjective_es
visa_noun_en	visado_noun_es
genome_noun_en	genoma_noun_es
bilirubin_noun_en	bilirrubina_noun_es
phonic_adjective_en	fónico_adjective_es
whoever_pronoun_en	quienquiera_pronoun_es
intoxicated_adjective_en	ebrio_adjective_es
donegal_propernoun_en	donegal_propernoun_es
multimeter_noun_en	multímetro_noun_es
blackhead_noun_en	espinilla_noun_es
exam-table_noun_en	mesa-de-exploración_noun_es
execute_verb_en	ajusticiar_verb_es
serenity_noun_en	serenidad_noun_es
greyhound_noun_en	galgo_noun_es
stagnate_verb_en	estancar_verb_es
have-an-accident_verb_en	accidentarse_verb_es
huge_adjective_en	enorme_adjective_es
indorsement_noun_en	endoso_noun_es
cellularly_adverb_en	celularmente_adverb_es
chorology_noun_en	corología_noun_es
transatlantic_adjective_en	transatlántico_adjective_es
comment_noun_en	comentario_noun_es
chairperson_noun_en	presidente_noun_es
servant_noun_en	sirviente_noun_es
illegitimacy_noun_en	ilegitimidad_noun_es
pasteurise_verb_en	pasteurizar_verb_es
ionian-islands_propernoun_en	islas-jónicas_propernoun_es
whipped-cream_noun_en	crema-batida_noun_es
case_noun_en	estuche_noun_es
monostable_adjective_en	monoestable_adjective_es
newsreader_noun_en	presentador-de-los-informativos_noun_es
totemism_noun_en	totemismo_noun_es
adroit_adjective_en	hábil_adjective_es
visualisation_noun_en	visualización_noun_es
miserable_adjective_en	desgraciado_adjective_es
shrimp_noun_en	gamba_noun_es
the-day-before_adverb_en	el-dia-antes_adverb_es
deceitfulness_noun_en	falsedad_noun_es
awareness_noun_en	concienciación_noun_es
until_preposition_en	hasta_preposition_es
embrace_noun_en	abrazo_noun_es
have-a-flavour-on-its-own_verb_en	tener-un-sabor-particular_verb_es
infectious_adjective_en	contagioso_adjective_es
yours_pronoun_en	el-suyo_pronoun_es
yours_possessivepronoun_en	el-suyo_possessivepronoun_es
become_verb_en	llegar-a-ser_verb_es
spaniard_noun_en	español_noun_es
benefit_noun_en	beneficio_noun_es
yet_subordinatingconjunction_en	aún-así_subordinatingconjunction_es
vanity_noun_en	vanidad_noun_es
san-diego_propernoun_en	san-diego_propernoun_es
eiffel_propernoun_en	eiffel_propernoun_es
neighbouring_adjective_en	vecino_adjective_es
upper_adjective_en	superior_adjective_es
palace_noun_en	palacio_noun_es
misfortune_noun_en	desgracia_noun_es
abstemiousness_noun_en	sobriedad_noun_es
categorematic_adjective_en	categoremático_adjective_es
palette_noun_en	paleta_noun_es
miner_noun_en	minero_noun_es
inexperienced_adjective_en	novato_adjective_es
delicacy_noun_en	delicadeza_noun_es
division_noun_en	reparto_noun_es
bomber_noun_en	bombardero_noun_es
dormouse_noun_en	lirón_noun_es
empathic_adjective_en	empático_adjective_es
confessor_noun_en	confesor_noun_es
flores_propernoun_en	flores_propernoun_es
capital_adjective_en	capital_adjective_es
wrong_adjective_en	incorrecto_adjective_es
deity_noun_en	deidad_noun_es
banishment_noun_en	destierro_noun_es
labyrinth_noun_en	laberinto_noun_es
metope_noun_en	metopa_noun_es
blow_noun_en	golpe_noun_es
lead_verb_en	liderar_verb_es
lecture_noun_en	conferencia_noun_es
tour_propernoun_en	tour_propernoun_es
sheriff_noun_en	sheriff_noun_es
callistoan_adjective_en	calistiano_adjective_es
slope_noun_en	cuesta_noun_es
ticket_noun_en	tiquete_noun_es
mendelevium_noun_en	mendelevio_noun_es
private-secretary_noun_en	secretario-particular_noun_es
statvolt_noun_en	statvolt_noun_es
ninth_determiner_en	noveno_determiner_es
fundamental-issue_noun_en	cuestión-de-fondo_noun_es
resonator_noun_en	resonador_noun_es
grass_noun_en	yerba_noun_es
semi-formal_adjective_en	semiformal_adjective_es
analogically_adverb_en	analógicamente_adverb_es
iodine_noun_en	iodo_noun_es
respectively_adverb_en	respectivamente_adverb_es
happiness_noun_en	felicidad_noun_es
filter_noun_en	boquilla_noun_es
aquarius_adjective_en	acuario_adjective_es
producible_adjective_en	producible_adjective_es
lieutenant_noun_en	teniente_noun_es
seizure_noun_en	ataque_noun_es
dish_verb_en	embutir_verb_es
saudi_noun_en	saudí_noun_es
emphasis_noun_en	énfasis_noun_es
bodywork_noun_en	carrocería_noun_es
groceries_noun_en	víveres_noun_es
tasmania_propernoun_en	tasmania_propernoun_es
get-started_verb_en	empezar_verb_es
print_verb_en	imprimir_verb_es
glassware_noun_en	cristalería_noun_es
experience_noun_en	veteranía_noun_es
northwest_noun_en	noroeste_noun_es
rsa_noun_en	rsa_noun_es
satisfy_verb_en	satisfacer_verb_es
east_adjective_en	del-este_adjective_es
millisecond_noun_en	milisegundo_noun_es
goethe_propernoun_en	goethe_propernoun_es
electrodynamics_noun_en	electrodinámica_noun_es
strictly_adverb_en	estrictamente_adverb_es
houston_propernoun_en	houston_propernoun_es
tunic_noun_en	túnica_noun_es
slide_noun_en	deslizamiento_noun_es
since_subordinatingconjunction_en	por-cuanto-que_subordinatingconjunction_es
brave_adjective_en	atrevido_adjective_es
individuality_noun_en	individualidad_noun_es
make-ends-meet_verb_en	llegar-a-fin-de-mes_verb_es
miller_noun_en	molinero_noun_es
phase_noun_en	fase_noun_es
humanitarian-aid_noun_en	ayuda-humanitaria_noun_es
contingency_noun_en	contingencia_noun_es
working-class_adjective_en	de-clase-trabajadora_adjective_es
lewis_propernoun_en	lewis_propernoun_es
trichotomy_noun_en	tricotomía_noun_es
events-organiser_noun_en	animador-cultural_noun_es
mozambique_propernoun_en	mozambique_propernoun_es
walnut_noun_en	nuez_noun_es
josep_propernoun_en	josep_propernoun_es
south-korea_propernoun_en	corea-del-sur_propernoun_es
bloodstained_adjective_en	ensangrentado_adjective_es
antepenultimate_adjective_en	antepenúltimo_adjective_es
control_verb_en	controlar_verb_es
kick_noun_en	saque_noun_es
move-over_verb_en	moverse_verb_es
praetorium_noun_en	pretorio_noun_es
po-box_noun_en	apartado-postal_noun_es
for-ever-and-ever_adverb_en	por-los-siglos-de-los-siglos_adverb_es
penetration_noun_en	penetración_noun_es
veto_verb_en	vetar_verb_es
helter-skelter_adverb_en	atropelladamente_adverb_es
dishonour_noun_en	deshonor_noun_es
adipose_adjective_en	adiposo_adjective_es
crease_verb_en	arrugar_verb_es
provocation_noun_en	provocación_noun_es
original_noun_en	original_noun_es
cameroonian_adjective_en	camerunés_adjective_es
distinguished_adjective_en	señalado_adjective_es
get-across_verb_en	atravesar_verb_es
quintessence_noun_en	quintaesencia_noun_es
spearhead_noun_en	punta-de-lanza_noun_es
bp_noun_en	bp_noun_es
seat_verb_en	sentar_verb_es
significant_adjective_en	significativo_adjective_es
obedience_noun_en	obediencia_noun_es
bibliography_noun_en	bibliografía_noun_es
fuel_noun_en	carburante_noun_es
eutrophication_noun_en	eutrofización_noun_es
contraindication_noun_en	contraindicación_noun_es
equip_verb_en	equipar_verb_es
free_adjective_en	gratuito_adjective_es
crystallisation_noun_en	cristalización_noun_es
in-other-words_adverb_en	en-otras-palabras_adverb_es
colonial_adjective_en	colonial_adjective_es
tolerate_verb_en	tolerar_verb_es
wasp_noun_en	avispa_noun_es
spinning_noun_en	hiladura_noun_es
portugal_propernoun_en	portugal_propernoun_es
acuity_noun_en	acuidad_noun_es
merely_adverb_en	meramente_adverb_es
firm_adjective_en	firme_adjective_es
short_adjective_en	corto_adjective_es
polyatomic_adjective_en	poliatómico_adjective_es
become-embittered_verb_en	agriar-el-carácter_verb_es
proportionately_adverb_en	proporcionalmente_adverb_es
heater_noun_en	calentador_noun_es
neutrino_noun_en	neutrino_noun_es
hercules_propernoun_en	hércules_propernoun_es
overwhelm_verb_en	agobiarse_verb_es
surroundings_noun_en	entorno_noun_es
christmas-tree_noun_en	árbol-de-navidad_noun_es
mapping_noun_en	mapeo_noun_es
coat_noun_en	abrigo_noun_es
anybody_pronoun_en	alguien_pronoun_es
lamarckism_noun_en	lamarckismo_noun_es
animate_adjective_en	animado_adjective_es
burmese_adjective_en	birmano_adjective_es
sisterhood_noun_en	hermandad_noun_es
avoid_verb_en	evitar_verb_es
varied_adjective_en	diverso_adjective_es
queralt_propernoun_en	queralt_propernoun_es
intoxication_noun_en	intoxicación_noun_es
lockup_noun_en	prisión_noun_es
wonderfully_adverb_en	a-las-mil-maravillas_adverb_es
alike_adverb_en	igualmente_adverb_es
homotopy_noun_en	homotopía_noun_es
multidisciplinary_adjective_en	multidisciplinar_adjective_es
against_adverb_en	en-contra_adverb_es
disney_propernoun_en	disney_propernoun_es
antimissile_adjective_en	antimisil_adjective_es
cleft-palate_noun_en	fisura-palatina_noun_es
lid_noun_en	párpado_noun_es
carrot_noun_en	zanahoria_noun_es
november_noun_en	noviembre_noun_es
under-way_adverb_en	en-marcha_adverb_es
homeland_noun_en	patria_noun_es
anaemic_noun_en	anémico_noun_es
limonite_noun_en	limonita_noun_es
sheen_propernoun_en	sheen_propernoun_es
rejection_noun_en	repulsa_noun_es
link_noun_en	eslabón_noun_es
nicolas_propernoun_en	nicolas_propernoun_es
disguise_noun_en	disfraz_noun_es
justification_noun_en	justificación_noun_es
abelson_propernoun_en	abelson_propernoun_es
counterespionage_noun_en	contraespionaje_noun_es
swine-flu_noun_en	gripe-porcina_noun_es
hurl_verb_en	abalanzar_verb_es
juridical_adjective_en	jurídico_adjective_es
mussolini_propernoun_en	mussolini_propernoun_es
chemist_noun_en	químico_noun_es
illustrate_verb_en	ilustrar_verb_es
stock-market_noun_en	mercado-de-valores_noun_es
urinary_adjective_en	urinario_adjective_es
particular-requirement_noun_en	requisito-particular_noun_es
gibraltarian_noun_en	gibraltareño_noun_es
rio-de-janeiro_propernoun_en	río-de-janeiro_propernoun_es
megabit_noun_en	megabit_noun_es
hell_noun_en	infierno_noun_es
how-long_adverb_en	cuánto-tiempo_adverb_es
dispatcher_noun_en	expedidor_noun_es
guard_noun_en	guardia_noun_es
kneejerk_noun_en	reflejo-rotular_noun_es
pustule_noun_en	pústula_noun_es
spell_noun_en	conjuro_noun_es
how-funny_interjection_en	qué-gracia_interjection_es
parapet_noun_en	alféizar_noun_es
eminence_noun_en	eminencia_noun_es
similarity_noun_en	semejanza_noun_es
with-great-difficulty_adverb_en	apuradamente_adverb_es
lucky_adjective_en	afortunado_adjective_es
order-of-the-day_noun_en	orden-del-día_noun_es
searcher_noun_en	buscador_noun_es
impassable_adjective_en	impracticable_adjective_es
cia_noun_en	cia_noun_es
upraising_noun_en	alzamiento_noun_es
rale_noun_en	estertor_noun_es
plenary_noun_en	pleno_noun_es
inclement_adjective_en	inclemente_adjective_es
impotence_noun_en	impotencia_noun_es
mutuality_noun_en	mutualidad_noun_es
self-evident_adjective_en	manifiesto_adjective_es
submissive_adjective_en	sumiso_adjective_es
polycyclic_adjective_en	policíclico_adjective_es
afp_noun_en	afp_noun_es
iridotomy_noun_en	iridotomía_noun_es
slavery_noun_en	esclavitud_noun_es
defender_noun_en	defensor_noun_es
orographic_adjective_en	orográfico_adjective_es
resort-to_verb_en	echar-mano-de_verb_es
expensively_adverb_en	caramente_adverb_es
river-bank_noun_en	orilla-del-río_noun_es
mandelson_propernoun_en	mandelson_propernoun_es
naivety_noun_en	ingenuidad_noun_es
vitamin-e_noun_en	vitamina-e_noun_es
chemical_adjective_en	químico_adjective_es
address_noun_en	alocución_noun_es
permeable_adjective_en	permeable_adjective_es
shit_noun_en	mierda_noun_es
aiko_propernoun_en	aiko_propernoun_es
crime_noun_en	crimen_noun_es
in-return_adverb_en	a-cambio_adverb_es
pregnant_adjective_en	embarazado_adjective_es
cicatrisation_noun_en	cicatrización_noun_es
wintry_adjective_en	invernal_adjective_es
nato_noun_en	otan_noun_es
traumatologist_noun_en	traumatólogo_noun_es
rock_noun_en	roca_noun_es
decompose_verb_en	descomponer_verb_es
revaluation_noun_en	revalorización_noun_es
conversely_adverb_en	en-cambio_adverb_es
nicaragua_propernoun_en	nicaragua_propernoun_es
cake_noun_en	torta_noun_es
hack_verb_en	cortar_verb_es
gold-coin-standard_noun_en	patrón-cambio-oro_noun_es
order_verb_en	ordenar_verb_es
in-a-torrent_adverb_en	a-borbotones_adverb_es
fauvism_noun_en	fovismo_noun_es
audit_verb_en	auditar_verb_es
deliberately_adverb_en	intencionadamente_adverb_es
